"PC Name","No","Type","State","Winning Candidate","Party","Electors","Votes","Turnout","Margin","Margin %"
Barasat,17,GEN,West Bengal,Dr. Kakali Ghoshdostidar,All India Trinamool Congress,1512792,1269331,83.9 %,173141,13.6%
Bardhaman Purba,38,SC,West Bengal,Sunil Kumar Mondal,All India Trinamool Congress,1532244,1320922,86.2 %,114479,8.7%
Bardoli,23,ST,Gujarat,Vasava Parbhubhai Nagarbhai,Bharatiya Janta Party,1614106,1206179,74.7 %,123884,10.3%
Bareilly,25,GEN,Uttar Pradesh [2000 Onwards],Santosh Kumar Gangwar,Bharatiya Janta Party,1664081,1017891,61.2 %,240685,23.6%
Bargarh,1,GEN,Orissa,Prabhas Kumar Singh,Biju Janata Dal,1430717,1123301,78.5 %,11178,1.0%
Barmer,17,GEN,Rajasthan,Col. Sona Ram,Bharatiya Janta Party,1677582,1219119,72.7 %,87461,7.2%
Barpeta,6,GEN,Assam,Siraj Uddin Ajmal,All India United Democratic Front,1430175,1205863,84.3 %,42341,3.5%
Barrackpore,15,GEN,West Bengal,Dinesh Trivedi,All India Trinamool Congress,1287222,1051130,81.7 %,206773,19.7%
Basirhat,18,GEN,West Bengal,Idris Ali,All India Trinamool Congress,1490596,1273771,85.5 %,109659,8.6%
Bastar,10,ST,Chhattisgarh,Dinesh Kashyap,Bharatiya Janta Party,1298059,769913,59.3 %,124359,16.2%
Basti,61,GEN,Uttar Pradesh [2000 Onwards],Harish Chandra Alias Harish Dwivedi,Bharatiya Janta Party,1847613,1048534,56.8 %,33562,3.2%
Beed,39,GEN,Maharashtra,Munde Gopinathrao Pandurang,Bharatiya Janta Party,1792650,1232202,68.7 %,136454,11.1%
Begusarai,24,GEN,Bihar [2000 Onwards],Bhola Singh,Bharatiya Janta Party,1778759,1077855,60.6 %,58335,5.4%
Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,1581017,1078547,68.2 %,75860,7.0%
Bellary,9,ST,Karnataka,B. Sreeramulu,Bharatiya Janta Party,1487945,1045772,70.3 %,85144,8.1%
Berhampur,20,GEN,Orissa,Sidhant Mohapatra,Biju Janata Dal,1334268,905362,67.9 %,127720,14.1%
Betul,29,ST,Madhya Pradesh [2000 Onwards],Jyoti Dhurve,Bharatiya Janta Party,1607822,1047719,65.2 %,328614,31.4%
Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Virendra Singh,Bharatiya Janta Party,1834598,981552,53.5 %,158039,16.1%
Bhadrak,7,SC,Orissa,Arjun Charan Sethi,Biju Janata Dal,1469498,1081339,73.6 %,179359,16.6%
Bhagalpur,26,GEN,Bihar [2000 Onwards],Shailesh Kumar Urph Bulo Mandal,Rashtriya Janata Dal,1685339,974016,57.8 %,9485,1.0%
Bhandara - Gondiya,11,GEN,Maharashtra,Nanabhau Falgunrao Patole,Bharatiya Janta Party,1656284,1197196,72.3 %,149254,12.5%
Bharatpur,9,SC,Rajasthan,Bahadur Singh,Bharatiya Janta Party,1686897,962432,57.1 %,245468,25.5%
Bharuch,22,GEN,Gujarat,Vasava Mansukhbhai Dhanjibhai,Bharatiya Janta Party,1417548,1060211,74.8 %,153273,14.5%
Bhatinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,1525289,1176767,77.2 %,19395,1.6%
Bhavnagar,15,GEN,Gujarat,Dr. Bharatiben Dhirubhai Shiyal,Bharatiya Janta Party,1594531,917402,57.5 %,295488,32.2%
Bhilwara,23,GEN,Rajasthan,Subhash Baheria,Bharatiya Janta Party,1754877,1104090,62.9 %,246264,22.3%
Bhind,2,SC,Madhya Pradesh [2000 Onwards],Dr. Bhagirath Prasad,Bharatiya Janta Party,1598169,729084,45.6 %,159961,21.9%
Bhiwandi,23,GEN,Maharashtra,Kapil Moreshwar Patil,Bharatiya Janta Party,1696589,875605,51.6 %,109450,12.5%
Bhiwani-Mahendragarh,8,GEN,Haryana,Dharambir S/o Bhale Ram,Bharatiya Janta Party,1473912,1030431,69.9 %,129394,12.6%
Bhongir,14,GEN,Telangana,Dr. Boora Narsaiah Goud,Telangana Rashtra Samithi,1492251,1211943,81.2 %,30494,2.5%
Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Alok Sanjar,Bharatiya Janta Party,1956936,1130182,57.8 %,370696,32.8%
Bhubaneswar,18,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,1527768,891822,58.4 %,189477,21.2%
Bidar,7,GEN,Karnataka,Bhagwanth Khuba,Bharatiya Janta Party,1600962,959384,59.9 %,92222,9.6%
Bijapur,4,SC,Karnataka,Ramesh Jigajinagi,Bharatiya Janta Party,1622635,966757,59.6 %,69819,7.2%
Bijnor,4,GEN,Uttar Pradesh [2000 Onwards],Kunwar Bhartendra,Bharatiya Janta Party,1562065,1060346,67.9 %,205774,19.4%
Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,1591068,929751,58.4 %,308079,33.1%
Bilaspur,5,GEN,Chhattisgarh,Lakhan Lal Sahu,Bharatiya Janta Party,1727325,1090457,63.1 %,176436,16.2%
Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1495108,1275819,85.3 %,67263,5.3%
Bishnupur,37,SC,West Bengal,Khan Saumitra,All India Trinamool Congress,1466921,1272070,86.7 %,149685,11.8%
Bolangir,10,GEN,Orissa,Kalikesh Narayan Singh Deo,Biju Janata Dal,1563025,1170405,74.9 %,104299,8.9%
Bolpur,41,SC,West Bengal,Anupam Hazra,All India Trinamool Congress,1538429,1304756,84.8 %,236112,18.1%
Bulandshahr,14,SC,Uttar Pradesh [2000 Onwards],Bhola Singh,Bharatiya Janta Party,1736447,1009710,58.2 %,421973,41.8%
Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,1596234,978626,61.3 %,159579,16.3%
Burdwan - Durgapur,39,GEN,West Bengal,Dr. Mamtaz Sanghamita,All India Trinamool Congress,1583498,1331242,84.1 %,107331,8.1%
Buxar,33,GEN,Bihar [2000 Onwards],Ashwini Kumar Choubey,Bharatiya Janta Party,1640567,888204,54.1 %,132338,14.9%
Chalakudy,11,GEN,Kerala,Innocent,Independent,1150491,884033,76.8 %,13884,1.6%
Chamarajanagar,22,SC,Karnataka,R. Dhruvanarayana,Indian National Congress,1555779,1133029,72.8 %,141182,12.5%
Chandauli,76,GEN,Uttar Pradesh [2000 Onwards],Dr Mahendra Nath Pandey,Bharatiya Janta Party,1669140,980572,58.8 %,156756,16.0%
Chandigarh,1,GEN,Chandigarh,Kher Kirron Anupam,Bharatiya Janta Party,615214,453455,73.7 %,69642,15.4%
Chandni Chowk,1,GEN,Delhi [1977 Onwards],Dr. Harsh Vardhan,Bharatiya Janta Party,1447228,981863,67.8 %,136320,13.9%
Chandrapur,13,GEN,Maharashtra,Ahir Hansraj Gangaram,Bharatiya Janta Party,1753690,1109743,63.3 %,236269,21.3%
Chatra,4,GEN,Jharkhand,Sunil Kumar Singh,Bharatiya Janta Party,1312545,712971,54.3 %,178026,25.0%
Chelvella,10,GEN,Telangana,Konda Vishweshwar Reddy,Telangana Rashtra Samithi,2185179,1315862,60.2 %,73023,5.5%
Chennai Central,4,GEN,Tamil Nadu,S.R. Vijayakumar,All India Anna Dravida Munnetra Kazhagam,1328027,814894,61.4 %,45841,5.6%
Chennai North,2,GEN,Tamil Nadu,Venkatesh Babu .T.G,All India Anna Dravida Munnetra Kazhagam,1422386,910114,64.0 %,99704,11.0%
Chennai South,3,GEN,Tamil Nadu,Dr. J. Jayavardhan,All India Anna Dravida Munnetra Kazhagam,1795780,1081163,60.2 %,136625,12.6%
Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Kamal Nath,Indian National Congress,1401277,1107498,79.0 %,116537,10.5%
Chhota Udaipur,21,ST,Gujarat,Ramsinh Rathwa,Bharatiya Janta Party,1536305,1100542,71.6 %,179729,16.3%
Chidambaram,27,SC,Tamil Nadu,Chandrakasi M,All India Anna Dravida Munnetra Kazhagam,1366189,1088423,79.7 %,128495,11.8%
Chikballapur,27,GEN,Karnataka,M Veerappa Moily,Indian National Congress,1658342,1263274,76.2 %,9520,0.8%
Chikkodi,1,GEN,Karnataka,Prakash Babanna Hukkeri,Indian National Congress,1442296,1071103,74.3 %,3003,0.3%
Chitradurga,18,SC,Karnataka,B.N.Chandrappa,Indian National Congress,1661272,1096499,66.0 %,101291,9.2%
Chittoor,42,SC,Andhra Pradesh [2014 Onwards],Naramalli Sivaprasad,Telugu Desam,1452141,1198915,82.6 %,44138,3.7%
Chittorgarh,21,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,1818147,1172629,64.5 %,316857,27.0%
Churu,3,GEN,Rajasthan,Rahul Kaswan,Bharatiya Janta Party,1753825,1131104,64.5 %,294739,26.1%
Coimbatore,20,GEN,Tamil Nadu,Nagarajan P.,All India Anna Dravida Munnetra Kazhagam,1720211,1176620,68.4 %,42016,3.6%
Cooch Behar,1,SC,West Bengal,Renuka Sinha,All India Trinamool Congress,1613417,1332409,82.6 %,87107,6.5%
Cuddalore,26,GEN,Tamil Nadu,Arunmozhithevan.A,All India Anna Dravida Munnetra Kazhagam,1247908,984538,78.9 %,203125,20.6%
Cuttack,14,GEN,Orissa,Bhartruhari Mahatab,Biju Janata Dal,1371617,978604,71.4 %,306762,31.3%
Dadra And Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Patel Natubhai Gomanbhai,Bharatiya Janta Party,196617,165286,84.1 %,6214,3.8%
Dahod,19,ST,Gujarat,Jasvantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,1411765,900381,63.8 %,230354,25.6%
Dakshina Kannada,17,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,1565281,1207474,77.1 %,143709,11.9%
Daman And Diu,1,GEN,Daman & Diu,Patel Lalubhai Babubhai,Bharatiya Janta Party,111827,87233,78.0 %,9222,10.6%
Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Prahalad Singh Patel,Bharatiya Janta Party,1651106,912080,55.2 %,213299,23.4%
Darbhanga,14,GEN,Bihar [2000 Onwards],Kirti Azad,Bharatiya Janta Party,1495446,828342,55.4 %,35043,4.2%
Darjeeling,4,GEN,West Bengal,S.S.Ahluwalia,Bharatiya Janta Party,1437126,1142009,79.5 %,197239,17.3%
Dausa,11,ST,Rajasthan,Harish Chandra Meena,Bharatiya Janta Party,1524095,930492,61.1 %,45404,4.9%
Davanagere,13,GEN,Karnataka,G M Siddeshwara,Bharatiya Janta Party,1522712,1114868,73.2 %,17607,1.6%
Deoria,66,GEN,Uttar Pradesh [2000 Onwards],Kalraj Mishra,Bharatiya Janta Party,1806926,971557,53.8 %,265386,27.3%
Dewas,21,SC,Madhya Pradesh [2000 Onwards],Manohar Untwal,Bharatiya Janta Party,1617215,1143968,70.7 %,260313,22.8%
Dhanbad,7,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,1889994,1143902,60.5 %,292954,25.6%
Dhar,25,ST,Madhya Pradesh [2000 Onwards],Savitri Thakur,Bharatiya Janta Party,1668441,1076816,64.5 %,104328,9.7%
Dharmapuri,10,GEN,Tamil Nadu,Anbumani Ramadoss,Pattali Makkal Katchi,1358273,1101345,81.1 %,77146,7.0%
Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1579024,1041226,65.9 %,113657,10.9%
Dhaurahra,29,GEN,Uttar Pradesh [2000 Onwards],Rekha,Bharatiya Janta Party,1558039,1060271,68.1 %,125675,11.9%
Dhenkanal,9,GEN,Orissa,Tathagata Satpathy,Biju Janata Dal,1363467,1042101,76.4 %,137340,13.2%
Dhubri,4,GEN,Assam,Badruddin Ajmal,All India United Democratic Front,1552554,1369624,88.2 %,229730,16.8%
Dhule,2,GEN,Maharashtra,Dr. Bhamre Subhash Ramrao,Bharatiya Janta Party,1674469,983083,58.7 %,130723,13.3%
Diamond Harbour,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,1555914,1261296,81.1 %,71298,5.7%
Dibrugarh,13,GEN,Assam,Rameswar Teli,Bharatiya Janta Party,1124305,890968,79.3 %,185347,20.8%
Dindigul,22,GEN,Tamil Nadu,Udhaya Kumar .M,All India Anna Dravida Munnetra Kazhagam,1400531,1083364,77.4 %,127845,11.8%
Dindori,20,ST,Maharashtra,Chavan Harishchandra Deoram,Bharatiya Janta Party,1530139,970182,63.4 %,247619,25.5%
Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Bharatiya Janta Party,1761415,935027,53.1 %,103588,11.1%
Dum Dum,16,GEN,West Bengal,Saugata Roy,All India Trinamool Congress,1405981,1132644,80.6 %,154934,13.7%
Dumka,2,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,1247155,903060,72.4 %,39030,4.3%
Durg,7,GEN,Chhattisgarh,Tamradhwaj Sahu,Indian National Congress,1855781,1258342,67.8 %,16848,1.3%
East Delhi,3,GEN,Delhi [1977 Onwards],Maheish Girri,Bharatiya Janta Party,1829578,1196336,65.4 %,190463,15.9%
Eluru,27,GEN,Andhra Pradesh [2014 Onwards],Maganti Venkateswara Rao (BABU),Telugu Desam,1427760,1201696,84.2 %,101926,8.5%
Ernakulam,12,GEN,Kerala,Prof. K.V. Thomas,Indian National Congress,1156467,850834,73.6 %,87047,10.2%
Erode,17,GEN,Tamil Nadu,Selvakumara Chinnayan S,All India Anna Dravida Munnetra Kazhagam,1321395,1008582,76.3 %,211563,21.0%
Etah,22,GEN,Uttar Pradesh [2000 Onwards],Rajveer Singh (RAJU BHAIYA),Bharatiya Janta Party,1577457,926281,58.7 %,201001,21.7%
Etawah,41,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Doharey,Bharatiya Janta Party,1707237,939604,55.0 %,172946,18.4%
Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Lallu Singh,Bharatiya Janta Party,1738701,1022716,58.8 %,282775,27.6%
Faridabad,10,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,1740352,1130726,65.0 %,466873,41.3%
Faridkot,9,SC,Punjab,Prof. Sadhu Singh,Aam Aadmi Party,1455075,1032107,70.9 %,172516,16.7%
Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,1613781,970677,60.2 %,150502,15.5%
Fatehgarh Sahib,8,SC,Punjab,Harinder Singh Khalsa,Aam Aadmi Party,1396957,1030954,73.8 %,54144,5.3%
Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Niranjan Jyoti,Bharatiya Janta Party,1804777,1056688,58.6 %,187206,17.7%
Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Babulal,Bharatiya Janta Party,1580582,967968,61.2 %,173106,17.9%
Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Shiromani Akali Dal,1522111,1105412,72.6 %,31420,2.8%
Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akshay Yadav,Samajwadi Party,1636738,1104606,67.5 %,114059,10.3%
Gadchiroli-Chimur,12,ST,Maharashtra,Ashok Mahadeorao Nete,Bharatiya Janta Party,1469767,1027129,69.9 %,236870,23.1%
Gandhinagar,6,GEN,Gujarat,L.K.Advani,Bharatiya Janta Party,1733972,1135495,65.5 %,483121,42.5%
Ganganagar,1,SC,Rajasthan,Nihalchand,Bharatiya Janta Party,1718421,1256806,73.1 %,291741,23.2%
Garhwal,2,GEN,Uttarakhand,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janta Party,1269083,682024,53.7 %,184526,27.1%
Gauhati,7,GEN,Assam,Bijoya Chakravarty,Bharatiya Janta Party,1922270,1511729,78.6 %,315784,20.9%
Gautam Buddh Nagar,13,GEN,Uttar Pradesh [2000 Onwards],Dr.Mahesh Sharma,Bharatiya Janta Party,1986117,1199238,60.4 %,280212,23.4%
Gaya,38,SC,Bihar [2000 Onwards],Hari Manjhi,Bharatiya Janta Party,1500751,809378,53.9 %,115504,14.3%
Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,1610489,1366709,84.9 %,260891,19.1%
Ghaziabad,12,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Singh,Bharatiya Janta Party,2357546,1342320,56.9 %,567260,42.3%
Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Manoj Sinha,Bharatiya Janta Party,1801519,986673,54.8 %,32452,3.3%
Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Harinarayan Rajbhar,Bharatiya Janta Party,1891113,1039656,55.0 %,146015,14.0%
Giridih,6,GEN,Jharkhand,Ravindra Kumar Pandey,Bharatiya Janta Party,1515137,969997,64.0 %,40313,4.2%
Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,1590628,1049442,66.0 %,60682,5.8%
Gonda,59,GEN,Uttar Pradesh [2000 Onwards],Kirti Vardhan Singh,Bharatiya Janta Party,1710827,873732,51.1 %,160416,18.4%
Gopalganj,17,SC,Bihar [2000 Onwards],Janak Ram,Bharatiya Janta Party,1652767,903583,54.7 %,286936,31.8%
Gorakhpur,64,GEN,Uttar Pradesh [2000 Onwards],Adityanath,Bharatiya Janta Party,1904498,1040199,54.6 %,312783,30.1%
Gulbarga,5,SC,Karnataka,Mallikarjun Kharge,Indian National Congress,1721990,997638,57.9 %,74733,7.5%
Guna,4,GEN,Madhya Pradesh [2000 Onwards],Jyotiraditya M Scindia,Indian National Congress,1605619,976629,60.8 %,120792,12.4%
Guntur,30,GEN,Andhra Pradesh [2014 Onwards],Jayadev Galla,Telugu Desam,1572016,1244926,79.2 %,69111,5.6%
Gurdaspur,1,GEN,Punjab,Vinod Khanna,Bharatiya Janta Party,1500337,1042699,69.5 %,136065,13.0%
Gurgaon,9,GEN,Haryana,Inderjit Singh Rao,Bharatiya Janta Party,1845623,1320619,71.6 %,274722,20.8%
Gwalior,3,GEN,Madhya Pradesh [2000 Onwards],Narendra Singh Tomar,Bharatiya Janta Party,1877003,990912,52.8 %,29699,3.0%
Hajipur,21,SC,Bihar [2000 Onwards],Ramvilas Paswan,Lok Jan Shakti Party,1649547,904753,54.9 %,225500,24.9%
