,Name,No.of votes,Percentage of votes,Party
174,H D Kumaraswamy,"493,302",44.7%,Janata Dal (Secular)
175,C. P. Yogeeshwara,"363,027",32.9%,Bharatiya Janta Party
176,Tejasvini Gowda,"192,822",17.5%,Indian National Congress
177,Ananth Kumar,"437,953",48.2%,Bharatiya Janta Party
178,Krishna Byre Gowda,"400,341",44.1%,Indian National Congress
179,Prof.Radhakrishna,"30,045",3.3%,Janata Dal (Secular)
180,Gobinda Chandra Naskar,"546,596",50.7%,All India Trinamool Congress
181,Asim Bala,"453,770",42.1%,Communist Party Of India (MARXIST)
182,Krishnapada Majumder,"42,610",4.0%,Bharatiya Janta Party
183,Digvijay Singh,"185,762",28.5%,Independent
184,Jai Prakesh Narain Yadav,"157,046",24.1%,Rashtriya Janata Dal
185,Damodar Rawat,"111,933",17.2%,Janata Dal (United)
186,Acharia Basudeb,"469,223",47.6%,Communist Party Of India (MARXIST)
187,Subrata Mukherjee,"361,421",36.7%,Indian National Congress
188,Rahul (Biswajit) Sinha,"42,660",4.3%,Bharatiya Janta Party
189,Kamlesh Paswan,"223,011",34.4%,Bharatiya Janta Party
190,Shree Nath Ji,"170,224",26.2%,Bahujan Samaj Party
191,Sharada Devi,"113,170",17.4%,Samajwadi Party
192,Tarachand Bhagora,"413,169",53.7%,Indian National Congress
193,Hakaru Maida,"213,751",27.8%,Bharatiya Janta Party
194,Prabhulal Rawat,"71,543",9.3%,Janata Dal (United)
195,Panabaka Lakshmi,"460,757",44.0%,Indian National Congress
196,Malyadri Sriram,"391,419",37.4%,Telugu Desam
197,Nuthakki Rama Rao,"144,593",13.8%,Praja Rajyam Party
198,P.L.Punia,"328,418",44.2%,Indian National Congress
199,Ram Sagar,"160,505",21.6%,Samajwadi Party
200,Kamala Prasad Rawat,"159,837",21.5%,Bahujan Samaj Party
201,Supriya Sule,"487,827",66.5%,Nationalist Congress Party
202,Kanta Jaysing Nalawade,"150,996",20.6%,Bharatiya Janta Party
203,Kudalepatil Vivek Anant,"29,864",4.1%,Bahujan Samaj Party
204,Sharief Ud Din Shariq,"203,022",46.0%,Jammu &amp; Kashmir National Conference
205,Mohammad Dilawar Mir,"138,208",31.3%,Jammu &amp; Kashmir Peoples Democratic Party
206,Sajad Gani Lone,"65,403",14.8%,Jammu &amp; Kashmir People Conference
207,Kakali Ghosh Dastidar,"522,530",50.9%,All India Trinamool Congress
208,Sudin Chattopadhyay,"399,629",38.9%,All India Forward Bloc
209,Bratin Sengupta,"55,353",5.4%,Bharatiya Janta Party
210,Anup Kumar Saha,"531,987",47.3%,Communist Party Of India (MARXIST)
211,Ashoke Biswas,"472,568",42.0%,All India Trinamool Congress
212,Sankar Halder,"71,632",6.4%,Bharatiya Janta Party
213,Chaudhari Tusharbhai Amrasinhbhai,"398,430",47.8%,Indian National Congress
214,Vasava Riteshkumar Amarsinh,"339,445",40.8%,Bharatiya Janta Party
215,Vasava Pravinsinh Jagatsinh,"26,269",3.2%,Independent
216,Praveen Singh Aron,"220,976",31.3%,Indian National Congress
217,Santosh Gangwar,"211,638",30.0%,Bharatiya Janta Party
218,Islam Sabir Ansari,"181,996",25.8%,Bahujan Samaj Party
219,Sanjay Bhoi,"397,375",43.2%,Indian National Congress
220,Dr. Hamid Hussain,"298,931",32.5%,Biju Janata Dal
221,Radharani Panda,"157,750",17.2%,Bharatiya Janta Party
222,Harish Choudhary,"416,497",53.0%,Indian National Congress
223,Manvendra Singh,"297,391",37.8%,Bharatiya Janta Party
224,Popatram,"18,806",2.4%,Independent
225,Ismail Hussain,"322,137",35.7%,Indian National Congress
226,Bhupen Ray,"291,708",32.3%,Asom Gana Parisad
227,Abdus Samad Ahmed,"216,083",23.9%,Assam United Democratic Front
228,Dinesh Trivedi,"428,699",49.2%,All India Trinamool Congress
229,Tarit Baran Topdar,"372,675",42.8%,Communist Party Of India (MARXIST)
230,Prabhakar Tewari,"30,970",3.6%,Bharatiya Janta Party
231,Sk. Nurul Islam,"479,650",46.2%,All India Trinamool Congress
232,Ajay Chakraborty,"419,267",40.4%,Communist Party Of India
233,Swapan Kumar Nandi,"68,031",6.6%,Bharatiya Janta Party
234,Baliram Kashyap,"249,373",44.2%,Bharatiya Janta Party
235,Shankar Sodi,"149,111",26.4%,Indian National Congress
236,Manish Kunjam,"78,420",13.9%,Communist Party Of India
237,Arvind Kumar Chaudhary,"268,666",34.7%,Bahujan Samaj Party
238,Raj Kishor Singh,"163,456",21.1%,Samajwadi Party
239,Dr. Y. D. Singh,"117,259",15.2%,Bharatiya Janta Party
240,Harsimrat Kaur Badal,"529,472",50.5%,Shiromani Akali Dal
241,Raninder Singh,"408,524",39.0%,Indian National Congress
242,Nem Chand,"35,094",3.3%,Bahujan Samaj Party
243,Munde Gopinathrao Pandurang,"553,994",51.6%,Bharatiya Janta Party
244,Kokate Ramesh Baburao (Adaskar),"413,042",38.5%,Nationalist Congress Party
245,Maske Machindra Baburao,"25,284",2.4%,Bahujan Samaj Party
246,Dr. Monazir Hassan,"205,680",28.6%,Janata Dal (United)
247,Shatrughna Prasad Singh,"164,843",22.9%,Communist Party Of India
248,Anil Chaudhary,"121,786",17.0%,Lok Jan Shakti Party
249,Angadi Suresh Channabasappa,"384,324",51.0%,Bharatiya Janta Party
250,Amarsinh Vasantrao Patil,"265,637",35.2%,Indian National Congress
251,A. B. Patil,"68,594",9.1%,Janata Dal (Secular)
252,J. Shantha,"402,213",46.7%,Bharatiya Janta Party
253,N.Y. Hanumanthappa,"399,970",46.5%,Indian National Congress
254,A. Ramanjanappa,"16,167",1.9%,Independent
255,Sidhant Mohapatra,"319,839",45.0%,Biju Janata Dal
256,Chandra Sekhar Sahu,"262,552",36.9%,Indian National Congress
257,Bharat Paik,"78,929",11.1%,Bharatiya Janta Party
258,Jyoti Dhurve,"334,939",52.6%,Bharatiya Janta Party
259,Ojharam Evane,"237,622",37.3%,Indian National Congress
260,Sunil Kumar Kawde,"13,912",2.2%,Independent
261,Gorakhnath,"195,808",29.7%,Bahujan Samaj Party
262,Chhotelal Bind,"182,845",27.8%,Samajwadi Party
263,Surymani Tiwari,"93,351",14.2%,Indian National Congress
264,Arjun Charan Sethi,"416,808",44.8%,Biju Janata Dal
265,Ananta Prasad Sethi,"361,870",38.9%,Indian National Congress
266,Ratha Das,"122,431",13.2%,Bharatiya Janta Party
267,Syed Shahnawaz Hussain,"228,384",36.3%,Bharatiya Janta Party
268,Shakuni Choudhary,"172,573",27.4%,Rashtriya Janata Dal
269,Ajit Sharma,"55,387",8.8%,Bahujan Samaj Party
270,Patel Praful Manoharbhai,"489,814",47.5%,Nationalist Congress Party
271,Nanabhau Falgunrao Patole,"237,899",23.1%,Independent
272,Patle Shishupal Natthuji,"158,938",15.4%,Bharatiya Janta Party
273,Ratan Singh,"301,434",53.7%,Indian National Congress
274,Khemchand,"219,980",39.2%,Bharatiya Janta Party
275,Muhar Singh,"23,178",4.1%,Bahujan Samaj Party
276,Mansukhbhai Dhanjibhai Vasava,"311,019",41.5%,Bharatiya Janta Party
277,Umerji Ahmed Ugharatdar (Aziz Tankarvi),"283,787",37.9%,Indian National Congress
278,Vasava Chhotubhai Amarsinhbhai,"63,661",8.5%,Janata Dal (United)
279,Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana),"213,376",34.2%,Bharatiya Janta Party
280,Gohilmahavirsinhbhagir Athsinh,"207,483",33.3%,Indian National Congress
281,Zadafia Gordhanbhai Pragjibhai,"156,570",25.1%,Mahagujarat Janta Party
282,C P Joshi,"413,128",54.7%,Indian National Congress
283,Vijayendra Pal Singh,"277,760",36.8%,Bharatiya Janta Party
284,Harish Gurjar,"28,141",3.7%,Bahujan Samaj Party
285,Ashok Argal Chhaviram,"227,365",43.4%,Bharatiya Janta Party
286,Dr. Bhagirath Prasad,"208,479",39.8%,Indian National Congress
287,D.R.Rahul,"60,803",11.6%,Bahujan Samaj Party
288,Taware Suresh Kashinath,"182,789",31.3%,Indian National Congress
289,Patil Jagannath Shivram,"141,425",24.2%,Bharatiya Janta Party
290,Devraj Kisan Mhatre,"107,090",18.3%,Maharashtra Navnirman Sena
291,Shruti Choudhry,"302,817",35.0%,Indian National Congress
292,Ajay Singh Chautala,"247,240",28.6%,Indian National Lok Dal
293,Narender Singh,"214,161",24.8%,Haryana Janhit Congress (BL)
294,Komatireddy Raj Gopal Reddy,"504,103",44.6%,Indian National Congress
295,Nomula Narsimhaiah,"364,215",32.2%,Communist Party Of India (MARXIST)
296,Chandra Mouli Gandam,"104,872",9.3%,Praja Rajyam Party
297,Kailash Joshi,"335,678",50.9%,Bharatiya Janta Party
298,Surendra Singh Thakur,"270,521",41.0%,Indian National Congress
299,Er. Ashok Narayan Singh,"18,649",2.8%,Bahujan Samaj Party
300,Prasanna Kumar Patasani,"400,472",56.3%,Biju Janata Dal
301,Santosh Mohanty,"147,712",20.8%,Indian National Congress
302,Archana Nayak,"93,980",13.2%,Bharatiya Janta Party
303,N.Dharam Singh,"337,957",43.4%,Indian National Congress
304,Gurupadappa Nagmarpalli,"298,338",38.3%,Bharatiya Janta Party
305,Subhash Tippanna Nelge,"49,303",6.3%,Janata Dal (Secular)
306,Jigajinagi Ramesh Chandappa,"308,939",47.6%,Bharatiya Janta Party
307,Prakash Kubasing Rathod,"266,535",41.0%,Indian National Congress
308,Almelkar Vilasababu Basalingappa,"33,177",5.1%,Janata Dal (Secular)
309,Sanjay Singh Chauhan,"244,587",34.6%,Rashtriya Lok Dal
310,Shahid Siddiqui,"216,157",30.5%,Bahujan Samaj Party
311,Saiduzzaman,"85,158",12.0%,Indian National Congress
312,Arjun Ram Meghwal,"244,537",42.9%,Bharatiya Janta Party
313,Rewat Ram Panwar,"224,962",39.5%,Indian National Congress
314,Govind Ram Meghwal,"39,306",6.9%,Bahujan Samaj Party
315,Dilip Singh Judev,"347,930",45.2%,Bharatiya Janta Party
316,Dr.Renu Jogi,"327,791",42.6%,Indian National Congress
317,Advocate T.R.Nirala,"20,108",2.6%,Bahujan Samaj Party
318,Satabdi Roy,"486,553",47.8%,All India Trinamool Congress
319,Braja Mukherjee,"425,034",41.8%,Communist Party Of India (MARXIST)
320,Tapas Mukherjee,"47,068",4.6%,Bharatiya Janta Party
321,Susmita Bauri,"541,075",51.3%,Communist Party Of India (MARXIST)
322,Seuli Saha,"411,709",39.1%,All India Trinamool Congress
323,Jayanta Mondal,"41,908",4.0%,Bharatiya Janta Party
324,Kalikesh Narayan Singh Deo,"430,150",42.5%,Biju Janata Dal
325,Narasingha Mishra,"339,315",33.5%,Indian National Congress
326,Sangeeta Kumari Singh Deo,"191,739",19.0%,Bharatiya Janta Party
327,Doctor Ram Chandra Dome,"538,383",49.9%,Communist Party Of India (MARXIST)
328,Asit Kumar Mal,"411,501",38.1%,Indian National Congress
329,Arjun Saha,"70,084",6.5%,Bharatiya Janta Party
330,Kamlesh,"236,257",35.3%,Samajwadi Party
331,Ashok Kumar Pradhan,"170,192",25.5%,Bharatiya Janta Party
332,Raj Kumar Gautam,"142,186",21.3%,Bahujan Samaj Party
333,Jadhav Prataprao Ganpatrao,"353,671",41.4%,Shiv Sena
334,Shingane Dr.Rajendra Bhaskarrao,"325,593",38.1%,Nationalist Congress Party
335,Dandge Vasantrao Sugdeo,"81,763",9.6%,Bahujan Samaj Party
336,Sk. Saidul Haque,"573,399",50.5%,Communist Party Of India (MARXIST)
337,Nargis Begum,"465,162",40.9%,Indian National Congress
338,Syed Ali Afzal Chand,"50,081",4.4%,Bharatiya Janta Party
339,Jagada Nand Singh,"132,614",21.3%,Rashtriya Janata Dal
340,Lal Muni Choubey,"130,376",20.9%,Bharatiya Janta Party
341,Shyam Lal Singh Kushwaha,"127,145",20.4%,Bahujan Samaj Party
342,K.P. Dhanapalan,"399,035",50.2%,Indian National Congress
343,Adv. U.P Joseph,"327,356",41.2%,Communist Party Of India (MARXIST)
344,Adv.K.V. Sabu,"45,367",5.7%,Bharatiya Janta Party
345,R.Dhruvanarayana,"369,970",38.0%,Indian National Congress
346,A.R.Krishnamurthy,"365,968",37.6%,Bharatiya Janta Party
347,M.Shivanna(Kote),"106,876",11.0%,Janata Dal (Secular)
348,Ramkishun,"180,114",26.8%,Samajwadi Party
349,Kailash Nath Singh Yadav,"179,655",26.8%,Bahujan Samaj Party
350,Shailendra Kumar,"97,377",14.5%,Indian National Congress
351,Pawan Kumar Bansal,"161,042",46.9%,Indian National Congress
352,Satya Pal Jain,"102,075",29.7%,Bharatiya Janta Party
353,Harmohan Dhawan,"61,434",17.9%,Bahujan Samaj Party
354,Kapil Sibal,"465,713",59.7%,Indian National Congress
355,Vijender Gupta,"265,003",34.0%,Bharatiya Janta Party
356,Mohd. Mustaqeem (Ballo Bhai),"26,486",3.4%,Bahujan Samaj Party
357,Ahir Hansaraj Gangaram,"301,467",33.6%,Bharatiya Janta Party
358,Pugalia Naresh,"268,972",29.9%,Indian National Congress
359,Chatap Waman Sadashivrao,"169,112",18.8%,Swatantra Bharat Paksha
360,Inder Singh Namdhari,"108,336",22.9%,Independent
361,Dhiraj Prasad Sahu,"92,158",19.4%,Indian National Congress
362,Nagmani,"68,764",14.5%,Rashtriya Janata Dal
363,Jaipal Reddy Sudini,"420,807",38.8%,Indian National Congress
364,A.P.Jithender Reddy,"402,275",37.1%,Telugu Desam
365,Baddam Bal Reddy,"112,701",10.4%,Bharatiya Janta Party
366,Dayanidhi Maran,"285,783",46.8%,Dravida Munetra Kazhagam
367,Mogamed Ali Jinnah S.M.K.,"252,329",41.3%,All India Anna Dravida Munnetra Kazhagam
368,Ramakrishnan.V.V,"38,959",6.4%,Desiya Murpokku Dravida Kazhagam
369,Elangovan T.K.S,"281,055",42.6%,Dravida Munetra Kazhagam
370,Pandian. D,"261,902",39.7%,Communist Party Of India
371,Yuvaraj. V,"66,375",10.1%,Desiya Murpokku Dravida Kazhagam
372,Rajendran C,"308,567",42.4%,All India Anna Dravida Munnetra Kazhagam
373,Bharathy R.S.,"275,632",37.9%,Dravida Munetra Kazhagam
374,Gopinath V,"67,291",9.2%,Desiya Murpokku Dravida Kazhagam
375,Kamal Nath,"409,736",49.4%,Indian National Congress
376,Marot Rao Khavase,"288,516",34.8%,Bharatiya Janta Party
377,Manmohan Shah Batti,"27,414",3.3%,Independent
378,Rathwa Ramsingbhai Patalbhai,"353,534",46.2%,Bharatiya Janta Party
379,Rathwa Naranbhai Jemalabhai,"326,536",42.7%,Indian National Congress
380,Bhil Prakashbhai Somabhai,"43,970",5.7%,Bahujan Samaj Party
381,"Thirumaavalavan, Thol","428,804",49.3%,Viduthalai Chiruthaigal Katchi
382,"Ponnuswamy,e","329,721",37.9%,Pattali Makkal Katchi
383,"Sasikumar, S","66,283",7.6%,Desiya Murpokku Dravida Kazhagam
384,M.Veerappa Moily,"390,500",39.9%,Indian National Congress
385,C.Aswathanarayana,"339,119",34.6%,Bharatiya Janta Party
386,C.R.Manohar,"186,075",19.0%,Janata Dal (Secular)
387,Katti Ramesh Vishwanath,"438,081",50.5%,Bharatiya Janta Party
388,Prakash Babanna Hukkeri,"382,794",44.1%,Indian National Congress
389,Shivanand Wantamuri Siddamallappa,"19,762",2.3%,Bahujan Samaj Party
390,Janardhana Swamy,"370,920",44.3%,Bharatiya Janta Party
391,Dr. B Thippeswamy,"235,349",28.1%,Indian National Congress
392,M Rathnakar,"146,128",17.5%,Janata Dal (Secular)
393,Naramalli Sivaprasad,"434,376",41.6%,Telugu Desam
394,Thippeswamy M,"423,717",40.5%,Indian National Congress
395,Talari Manohar,"143,898",13.8%,Praja Rajyam Party
396,(Dr.)Girija Vyas,"399,663",50.3%,Indian National Congress
