,Place,Rank,Name,No.of votes,Percentage of votes,Party
32,Alappuzha,1,K C Venugopal,"462,525",46.4%,Indian National Congress
33,,2,C B Chandrababu,"443,118",44.4%,Communist Party Of India (MARXIST)
34,,3,Prof.A.V.Thamarakshan,"43,051",4.3%,Revolutionary Socialist Party Of Kerala (Bolshevik)
35,,,,,,
36,Alathur,1,P.K.Biju,"411,808",44.4%,Communist Party Of India (MARXIST)
37,,2,Sheeba,"374,496",40.4%,Indian National Congress
38,,3,Shaju Mon Vattekkad,"87,803",9.5%,Bharatiya Janta Party
39,,,,,,
40,Aligarh,1,Satish Kumar,"514,622",48.4%,Bharatiya Janta Party
41,,2,Dr. Arvind Kumar Singh,"227,886",21.4%,Bahujan Samaj Party
42,,3,Zafar Alam,"226,284",21.3%,Samajwadi Party
43,,,,,,
44,Alipurduars,1,Dasrath Tirkey,"362,453",29.6%,All India Trinamool Congress
45,,2,Manohar Tirkey,"341,056",27.9%,Revolutionary Socialist Party
46,,3,Birendra Bara (ORAON),"335,857",27.4%,Bharatiya Janta Party
47,,,,,,
48,Allahabad,1,Shyama Charan Gupta,"313,772",35.2%,Bharatiya Janta Party
49,,2,Kunwar Rewati Raman Singh Alias Mani,"251,763",28.2%,Samajwadi Party
50,,3,Keshri Devi,"162,073",18.2%,Bahujan Samaj Party
51,,,,,,
52,Almora,1,Ajay Tamta,"348,186",53.0%,Bharatiya Janta Party
53,,2,Pradeep Tamta,"252,496",38.5%,Indian National Congress
54,,3,Bahadur Ram Dhauni,"14,150",2.2%,Bahujan Samaj Party
55,,,,,,
56,Alwar,1,Chand Nath,"642,278",60.5%,Bharatiya Janta Party
57,,2,Bhanwar Jitendra Singh,"358,383",33.7%,Indian National Congress
58,,3,Azad Husain,"19,483",1.8%,Bahujan Samaj Party
59,,,,,,
60,Amalapuram,1,Dr Pandula Ravindra Babu,"594,547",53.0%,Telugu Desam
61,,2,Pinipe Viswarupu,"473,971",42.3%,Yuvajana Sramika Rythu Congress Party
62,,3,Aithabathula Jogeswara Venkata Butchi Maheswara Rao,"12,182",1.1%,Indian National Congress
63,,,,,,
64,Ambala,1,Rattan Lal Kataria,"612,121",50.2%,Bharatiya Janta Party
65,,2,Raj Kumar Balmiki,"272,047",22.3%,Indian National Congress
66,,3,Dr. Kusum Sherwal,"129,571",10.6%,Indian National Lok Dal
67,,,,,,
68,Ambedkar Nagar,1,Hari Om Pandey,"432,104",41.8%,Bharatiya Janta Party
69,,2,Rakesh Pandey,"292,675",28.3%,Bahujan Samaj Party
70,,3,Ram Murti Verma,"234,467",22.7%,Samajwadi Party
71,,,,,,
72,Amethi,1,Rahul Gandhi,"408,651",46.7%,Indian National Congress
73,,2,Smriti Zubin Irani,"300,748",34.4%,Bharatiya Janta Party
74,,3,Dharmendra Pratap Singh,"57,716",6.6%,Bahujan Samaj Party
75,,,,,,
76,Amravati,1,Adsul Anandrao Vithoba,"467,212",46.5%,Shiv Sena
77,,2,Navneet Ravi Rana,"329,280",32.8%,Nationalist Congress Party
78,,3,Gunwant Sudamrao Devpare,"98,200",9.8%,Bahujan Samaj Party
79,,,,,,
80,Amreli,1,Kachhadiya Naranbhai Bhikhabhai,"436,715",54.0%,Bharatiya Janta Party
81,,2,Thummar Virjibhai Keshavbhai (VIRJIBHAI THUMMAR),"280,483",34.7%,Indian National Congress
82,,3,Sukhadiya Nathalal Vallabhbhai,"15,520",1.9%,Aam Aadmi Party
83,,,,,,
84,Amritsar,1,Captain Amarinder Singh,"482,876",47.9%,Indian National Congress
85,,2,Arun Jaitley,"380,106",37.7%,Bharatiya Janta Party
86,,3,Dr. Daljit Singh,"82,633",8.2%,Aam Aadmi Party
87,,,,,,
88,Amroha,1,Kanwar Singh Tanwar,"528,880",48.3%,Bharatiya Janta Party
89,,2,Humera Akhtar,"370,666",33.8%,Samajwadi Party
90,,3,Farhat Hasan,"162,983",14.9%,Bahujan Samaj Party
91,,,,,,
92,Anakapalli,1,Muttamsetti Srinivasa Rao (AVANTHI),"568,463",49.5%,Telugu Desam
93,,2,Gudivada Amarnadh,"520,531",45.3%,Yuvajana Sramika Rythu Congress Party
94,,3,Vijaya Lakshmi Thota,"17,770",1.5%,Indian National Congress
95,,,,,,
96,Anand,1,Dilip Patel,"490,829",50.6%,Bharatiya Janta Party
97,,2,Solanki Bharatbhai Madhavsinh,"427,403",44.0%,Indian National Congress
98,,3,Vahora Firojbhai Walimahamadbhai (KASORWALA),"6,689",0.7%,Independent
99,,,,,,
100,Anandpur Sahib,1,Prem Singh Chandumajra,"347,394",32.0%,Shiromani Akali Dal
101,,2,Ambika Soni,"323,697",29.8%,Indian National Congress
102,,3,Himmat Singh Shergill,"306,008",28.2%,Aam Aadmi Party
103,,,,,,
104,Anantapur,1,J.C. Divakar Reddi,"606,509",50.3%,Telugu Desam
105,,2,Anantha Venkataramireddy,"545,240",45.2%,Yuvajana Sramika Rythu Congress Party
106,,3,Anil Chowdary. P,"16,659",1.4%,Indian National Congress
107,,,,,,
108,Anantnag,1,Mehbooba Mufti,"200,429",53.4%,Jammu &amp; Kashmir Peoples Democratic Party
109,,2,Mirza Mehboob Beg,"135,012",36.0%,Jammu &amp; Kashmir National Conference
110,,3,Tanveer Hussain Khan,"7,340",2.0%,Independent
111,,,,,,
112,Andaman And Nicobar Islands,1,Bishnu Pada Ray,"90,969",47.8%,Bharatiya Janta Party
113,,2,Kuldeep Rai Sharma,"83,157",43.7%,Indian National Congress
114,,3,Sanjay Meshack,"3,737",2.0%,Aam Aadmi Party
115,,,,,,
116,Aonla,1,Dharmendra Kumar,"409,907",41.2%,Bharatiya Janta Party
117,,2,Kunwar Sarvraj Singh,"271,478",27.3%,Samajwadi Party
118,,3,Sunita Shakya,"190,200",19.1%,Bahujan Samaj Party
119,,,,,,
120,Arakkonam,1,"Hari, G.","493,534",45.3%,All India Anna Dravida Munnetra Kazhagam
121,,2,"Elango, N.R","252,768",23.2%,Dravida Munetra Kazhagam
122,,3,"Velu, R.","233,762",21.5%,Pattali Makkal Katchi
123,,,,,,
124,Arambagh,1,Aparupa Poddar (AFRIN ALI),"748,764",55.0%,All India Trinamool Congress
125,,2,Saktimohan Malik,"401,919",29.5%,Communist Party Of India (MARXIST)
126,,3,Madhusudan Bag,"158,480",11.6%,Bharatiya Janta Party
127,,,,,,
128,Arani,1,V.Elumalai,"502,721",45.9%,All India Anna Dravida Munnetra Kazhagam
129,,2,R.Sivanandam,"258,877",23.6%,Dravida Munetra Kazhagam
130,,3,A.K.Moorthy,"253,332",23.1%,Pattali Makkal Katchi
131,,,,,,
132,Araria,1,Tasleem Uddin,"407,978",41.8%,Rashtriya Janata Dal
133,,2,Pradeep Kumar Singh,"261,474",26.8%,Bharatiya Janta Party
134,,3,Vijay Kumar Mandal,"221,769",22.7%,Janata Dal (United)
135,,,,,,
136,Arrah,1,Raj Kumar Singh,"391,074",43.8%,Bharatiya Janta Party
137,,2,Sribhagwan Singh Kushwaha,"255,204",28.6%,Rashtriya Janata Dal
138,,3,Raju Yadav,"98,805",11.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
139,,,,,,
140,Aruku,1,Kothapalli Geetha,"413,191",45.4%,Yuvajana Sramika Rythu Congress Party
141,,2,Gummidi Sandhyarani,"321,793",35.4%,Telugu Desam
142,,3,Kishore Chandra Deo,"52,884",5.8%,Indian National Congress
143,,,,,,
144,Arunachal East,1,Ninong Ering,"118,455",45.3%,Indian National Congress
145,,2,Tapir Gao,"105,977",40.6%,Bharatiya Janta Party
146,,3,Wangman Lowangcha,"32,354",12.4%,Peoples Party Of Arunachal
147,,,,,,
148,Arunachal West,1,Kiren Rijiju,"169,367",50.5%,Bharatiya Janta Party
149,,2,Takam Sanjoy,"127,629",38.0%,Indian National Congress
150,,3,Jalley Sonam,"14,664",4.4%,Peoples Party Of Arunachal
151,,,,,,
152,Asansol,1,Babul Supriya Baral (BABUL SUPRIYO),"419,983",36.8%,Bharatiya Janta Party
153,,2,Dola Sen,"349,503",30.6%,All India Trinamool Congress
154,,3,Bansa Gopal Choudhury,"255,829",22.4%,Communist Party Of India (MARXIST)
155,,,,,,
156,Aska,1,Ladu Kishore Swain,"541,473",60.4%,Biju Janata Dal
157,,2,Srilokanath Ratha,"229,476",25.6%,Indian National Congress
158,,3,Mahesh Chandra Mohanty,"67,361",7.5%,Bharatiya Janta Party
159,,,,,,
160,Attingal,1,Dr.A .Sampath,"392,478",45.7%,Communist Party Of India (MARXIST)
161,,2,Adv.Bindhu Krishna,"323,100",37.6%,Indian National Congress
162,,3,Girija Kumari.S,"90,528",10.5%,Bharatiya Janta Party
163,,,,,,
164,Aurangabad,1,Chandrakant Bhaurao Khaire,"520,902",53.0%,Shiv Sena
165,,2,Patil Nitin Suresh,"358,902",36.5%,Indian National Congress
166,,3,Jevrikar Indrakumar Dnyanoba,"37,419",3.8%,Bahujan Samaj Party
167,,,,,,
168,Aurangabad,1,Sushil Kumar Singh,"307,941",39.2%,Bharatiya Janta Party
169,,2,Nikhil Kumar,"241,594",30.7%,Indian National Congress
170,,3,Bagi Kumar Verma,"136,137",17.3%,Janata Dal (United)
171,,,,,,
172,Autonomous District,1,Biren Singh Engti,"213,152",39.2%,Indian National Congress
173,,2,Joy Ram Engleng,"189,057",34.8%,Bharatiya Janta Party
174,,3,Chomang Kro,"108,299",19.9%,Independent
175,,,,,,
176,Azamgarh,1,Mulayam Singh Yadav,"340,306",35.4%,Samajwadi Party
177,,2,Ramakant Yadav,"277,102",28.9%,Bharatiya Janta Party
178,,3,Shah Alam Alias Guddu Jamali,"266,528",27.8%,Bahujan Samaj Party
179,,,,,,
180,Badaun,1,Dharmendra Yadav,"498,378",48.5%,Samajwadi Party
181,,2,Vagish Pathak,"332,031",32.3%,Bharatiya Janta Party
182,,3,Akmal Khan Urf Chaman,"156,973",15.3%,Bahujan Samaj Party
183,,,,,,
184,Bagalkot,1,Gaddigoudar Parvtagouda Chandanagouda,"571,548",53.0%,Bharatiya Janta Party
185,,2,Ajay Kumar Sarnaik,"454,988",42.2%,Indian National Congress
186,,3,Shankar Bidari,"10,959",1.0%,Independent
187,,,,,,
188,Baghpat,1,Dr. Satya Pal Singh,"423,475",42.2%,Bharatiya Janta Party
189,,2,Ghulam Mohammed,"213,609",21.3%,Samajwadi Party
190,,3,Ajit Singh,"199,516",19.9%,Rashtriya Lok Dal
191,,,,,,
192,Baharampur,1,Adhir Ranjan Chowdhury,"583,549",50.5%,Indian National Congress
193,,2,Indranil Sen,"226,982",19.7%,All India Trinamool Congress
194,,3,Pramothes Mukherjee,"225,699",19.5%,Revolutionary Socialist Party
195,,,,,,
196,Bahraich,1,Sadhvi Savitri Bai Foole,"432,392",46.3%,Bharatiya Janta Party
197,,2,Shabbir Ahmad,"336,747",36.0%,Samajwadi Party
198,,3,Dr.Vijay Kumar,"96,904",10.4%,Bahujan Samaj Party
199,,,,,,
200,Balaghat,1,Bodhsingh Bhagat,"480,594",43.2%,Bharatiya Janta Party
201,,2,Hina Likhiram Kawre,"384,553",34.5%,Indian National Congress
202,,3,Anubha Munjare,"99,392",8.9%,Samajwadi Party
203,,,,,,
204,Balasore,1,Rabindra Kumar Jena,"433,768",41.3%,Biju Janata Dal
205,,2,Pratap Chandra Sarangi,"291,943",27.8%,Bharatiya Janta Party
206,,3,Shrikanta Kumar Jena,"277,517",26.4%,Indian National Congress
207,,,,,,
208,Ballia,1,Bharat Singh,"359,758",38.2%,Bharatiya Janta Party
209,,2,Neeraj Shekhar,"220,324",23.4%,Samajwadi Party
210,,3,Afzal Ansari,"163,943",17.4%,Quami Ekta Dal
211,,,,,,
212,Balurghat,1,Arpita Ghosh,"409,641",38.5%,All India Trinamool Congress
213,,2,Bimalendu Sarkar (BIMAL),"302,677",28.5%,Revolutionary Socialist Party
214,,3,Biswapriya Roy Choudhury,"223,014",21.0%,Bharatiya Janta Party
215,,,,,,
216,Banaskantha,1,Chaudhary Haribhai Parthibhai,"507,856",57.3%,Bharatiya Janta Party
217,,2,Patel Joitabhai Kasnabhai,"305,522",34.5%,Indian National Congress
218,,3,Mahant Parsotamgiri Turantgiri,"11,175",1.3%,Bahujan Samaj Party
219,,,,,,
220,Banda,1,Bhairon Prasad Mishra,"342,066",39.9%,Bharatiya Janta Party
221,,2,R. K. Singh Patel,"226,278",26.4%,Bahujan Samaj Party
222,,3,Bal Kumar Patel Alias Rajkumar,"189,730",22.1%,Samajwadi Party
223,,,,,,
224,Bangalore Central,1,P.C. Mohan,"557,130",51.8%,Bharatiya Janta Party
225,,2,Rizwan Arshad,"419,630",39.1%,Indian National Congress
226,,3,V. Balakrishnan,"39,869",3.7%,Aam Aadmi Party
227,,,,,,
228,Bangalore North,1,D.V Sadananda Gowda,"718,326",52.9%,Bharatiya Janta Party
229,,2,C.Narayana Swamy,"488,562",36.0%,Indian National Congress
230,,3,Abdul Azeem,"92,681",6.8%,Janata Dal (Secular)
231,,,,,,
232,Bangalore Rural,1,D K Suresh,"652,723",44.9%,Indian National Congress
233,,2,Muniraju Gowda . P,"421,243",28.9%,Bharatiya Janta Party
234,,3,R. Prabhakara Reddy,"317,870",21.8%,Janata Dal (Secular)
235,,,,,,
236,Bangalore South,1,Ananth Kumar,"633,816",56.9%,Bharatiya Janta Party
237,,2,Nandan Nilekani,"405,241",36.4%,Indian National Congress
238,,3,Ruth Manorama,"25,677",2.3%,Janata Dal (Secular)
239,,,,,,
240,Bangaon,1,Kapil Krishna Thakur,"551,213",42.9%,All India Trinamool Congress
241,,2,Debesh Das,"404,612",31.5%,Communist Party Of India (MARXIST)
242,,3,K.D. Biswas,"244,783",19.1%,Bharatiya Janta Party
243,,,,,,
244,Banka,1,Jai Prakash Narayan Yadav,"285,150",31.7%,Rashtriya Janata Dal
245,,2,Putul Kumari,"275,006",30.6%,Bharatiya Janta Party
246,,3,Sanjay Kumar -I,"220,708",24.5%,Communist Party Of India
247,,,,,,
248,Bankura,1,Sreemati Dev Varma (MOON MOON SEN),"483,455",39.1%,All India Trinamool Congress
249,,2,Acharia Basudeb,"384,949",31.1%,Communist Party Of India (MARXIST)
250,,3,Subhas Kumar Sarkar,"251,183",20.3%,Bharatiya Janta Party
251,,,,,,
252,Bansgaon,1,Kamlesh Paswan,"417,959",47.6%,Bharatiya Janta Party
253,,2,Sadal Prasad,"228,443",26.0%,Bahujan Samaj Party
254,,3,Gorakh Prasad Paswan,"133,675",15.2%,Samajwadi Party
255,,,,,,
256,Banswara,1,Manshankar Ninama,"577,433",49.3%,Bharatiya Janta Party
257,,2,Resham Malviya,"485,517",41.5%,Indian National Congress
258,,3,Vijaypal,"27,886",2.4%,Bahujan Samaj Party
259,,,,,,
260,Bapatla,1,Malyadri Sriram,"578,145",48.8%,Telugu Desam
261,,2,Varikuti Amruthapani,"545,391",46.0%,Yuvajana Sramika Rythu Congress Party
262,,3,Panabaka Lakshmi,"23,072",1.9%,Indian National Congress
263,,,,,,
264,Bara Banki,1,Priyanka Singh Rawat,"454,214",42.5%,Bharatiya Janta Party
265,,2,P. L. Punia,"242,336",22.7%,Indian National Congress
266,,3,Kamla Prasad Rawat,"167,150",15.6%,Bahujan Samaj Party
267,,,,,,
268,Baramati,1,Supriya Sule,"521,562",48.9%,Nationalist Congress Party
269,,2,Mahadev Jagannath Jankar,"451,843",42.4%,Rashtriya Samaj Paksha
270,,3,Suresh Khopade,"26,396",2.5%,Aam Aadmi Party
271,,,,,,
272,Baramulla,1,Muzaffar Hussain Baig,"175,277",37.6%,Jammu &amp; Kashmir Peoples Democratic Party
273,,2,Sharief Ud-Din Shariq,"146,058",31.3%,Jammu &amp; Kashmir National Conference
274,,3,Salamuddin Bajad,"71,154",15.3%,Jammu &amp; Kashmir People Conference
275,,,,,,
276,Barasat,1,Dr. Kakali Ghoshdostidar,"525,387",41.4%,All India Trinamool Congress
277,,2,Dr. Mortoza Hossain,"352,246",27.8%,All India Forward Bloc
278,,3,P.C. Sorcar Junior,"296,608",23.4%,Bharatiya Janta Party
279,,,,,,
280,Bardhaman Purba,1,Sunil Kumar Mondal,"574,660",43.5%,All India Trinamool Congress
281,,2,Iswar Chandra Das,"460,181",34.8%,Communist Party Of India (MARXIST)
282,,3,Santosh Roy,"170,828",12.9%,Bharatiya Janta Party
283,,,,,,
284,Bardoli,1,Vasava Parbhubhai Nagarbhai,"622,769",51.6%,Bharatiya Janta Party
285,,2,Chaudhari Tusharbhai Amarsinhbhai,"498,885",41.4%,Indian National Congress
286,,3,Chaudhari Revaben Shankarbhai,"13,270",1.1%,Communist Party Of India
287,,,,,,
288,Bareilly,1,Santosh Kumar Gangwar,"518,258",50.9%,Bharatiya Janta Party
289,,2,Ayesha Islam,"277,573",27.3%,Samajwadi Party
290,,3,Umesh Gautam,"106,049",10.4%,Bahujan Samaj Party
291,,,,,,
292,Bargarh,1,Prabhas Kumar Singh,"383,230",34.1%,Biju Janata Dal
293,,2,Subash Chouhan,"372,052",33.1%,Bharatiya Janta Party
294,,3,Sanjay Bhoi,"274,610",24.4%,Indian National Congress
295,,,,,,
296,Barmer,1,Col. Sona Ram,"488,747",40.1%,Bharatiya Janta Party
297,,2,Jaswant Singh,"401,286",32.9%,Independent
298,,3,Harish Chaudhary,"220,881",18.1%,Indian National Congress
299,,,,,,
300,Barpeta,1,Siraj Uddin Ajmal,"394,702",32.7%,All India United Democratic Front
301,,2,Chandra Mohan Patowary,"352,361",29.2%,Bharatiya Janta Party
302,,3,Ismail Hussain,"277,802",23.0%,Indian National Congress
303,,,,,,
304,Barrackpore,1,Dinesh Trivedi,"479,206",45.6%,All India Trinamool Congress
305,,2,Subhashini Ali,"272,433",25.9%,Communist Party Of India (MARXIST)
306,,3,Rumesh Kumar Handa,"230,401",21.9%,Bharatiya Janta Party
307,,,,,,
308,Basirhat,1,Idris Ali,"492,326",38.7%,All India Trinamool Congress
309,,2,Nurul Huda,"382,667",30.0%,Communist Party Of India
310,,3,Samik Bhattacharya,"233,887",18.4%,Bharatiya Janta Party
311,,,,,,
312,Bastar,1,Dinesh Kashyap,"385,829",50.1%,Bharatiya Janta Party
313,,2,Deepak Karma (BUNTY),"261,470",34.0%,Indian National Congress
314,,3,Bimala Sori,"33,883",4.4%,Communist Party Of India
315,,,,,,
316,Basti,1,Harish Chandra Alias Harish Dwivedi,"357,680",34.1%,Bharatiya Janta Party
317,,2,Brij Kishor Singh Dimpal,"324,118",30.9%,Samajwadi Party
318,,3,Ram Prasad Chaudhary,"283,747",27.1%,Bahujan Samaj Party
319,,,,,,
320,Beed,1,Munde Gopinathrao Pandurang,"635,995",51.6%,Bharatiya Janta Party
321,,2,Dhas Suresh Ramchandra,"499,541",40.5%,Nationalist Congress Party
322,,3,Rothod Digambar Ramrao,"14,166",1.1%,Bahujan Samaj Party
323,,,,,,
324,Begusarai,1,Bhola Singh,"428,227",39.7%,Bharatiya Janta Party
325,,2,Md. Tanveer Hassan,"369,892",34.3%,Rashtriya Janata Dal
326,,3,Rajendra Prasad Singh,"192,639",17.9%,Communist Party Of India
327,,,,,,
328,Belgaum,1,Angadi Suresh Channabasappa,"554,417",51.4%,Bharatiya Janta Party
329,,2,Laxmi R. Hebbalkar,"478,557",44.4%,Indian National Congress
330,,3,Angadi Muttappa Channasangappa,"8,524",0.8%,Aam Aadmi Party
331,,,,,,
332,Bellary,1,B. Sreeramulu,"534,406",51.1%,Bharatiya Janta Party
333,,2,N.Y. Hanumantappa,"449,262",43.0%,Indian National Congress
334,,3,R. Ravinayaka,"12,613",1.2%,Janata Dal (Secular)
335,,,,,,
336,Berhampur,1,Sidhant Mohapatra,"398,107",44.0%,Biju Janata Dal
337,,2,Chandra Sekhar Sahu,"270,387",29.9%,Indian National Congress
338,,3,Rama Chandra Panda,"158,811",17.5%,Bharatiya Janta Party
339,,,,,,
340,Betul,1,Jyoti Dhurve,"643,651",61.4%,Bharatiya Janta Party
341,,2,Ajay Shah Makrai,"315,037",30.1%,Indian National Congress
342,,3,Rajesh Sariyam,"20,627",2.0%,Aam Aadmi Party
343,,,,,,
344,Bhadohi,1,Virendra Singh,"403,544",41.1%,Bharatiya Janta Party
345,,2,Rakesh Dhar Tripathi,"245,505",25.0%,Bahujan Samaj Party
346,,3,Seema Mishra,"238,615",24.3%,Samajwadi Party
347,,,,,,
348,Bhadrak,1,Arjun Charan Sethi,"502,338",46.5%,Biju Janata Dal
349,,2,Sangram Keshari Jena,"322,979",29.9%,Indian National Congress
350,,3,Sarat Das,"216,617",20.0%,Bharatiya Janta Party
351,,,,,,
352,Bhagalpur,1,Shailesh Kumar Urph Bulo Mandal,"367,623",37.7%,Rashtriya Janata Dal
353,,2,Syed Shahnawaz Hussain,"358,138",36.8%,Bharatiya Janta Party
354,,3,Abu Qaiser,"132,256",13.6%,Janata Dal (United)
355,,,,,,
356,Bhandara - Gondiya,1,Nanabhau Falgunrao Patole,"606,129",50.6%,Bharatiya Janta Party
357,,2,Patel Praful Manoharbhai,"456,875",38.2%,Nationalist Congress Party
358,,3,Eng. Sanjay Raghunath Nasare,"50,958",4.3%,Bahujan Samaj Party
359,,,,,,
360,Bharatpur,1,Bahadur Singh,"579,825",60.2%,Bharatiya Janta Party
361,,2,Dr.Suresh Jatav,"334,357",34.7%,Indian National Congress
362,,3,Mahendar Kumar Jatav,"22,090",2.3%,Bahujan Samaj Party
363,,,,,,
364,Bharuch,1,Vasava Mansukhbhai Dhanjibhai,"548,902",51.8%,Bharatiya Janta Party
365,,2,Patel Jayeshbhai Ambalalbhai (JAYESH KAKA),"395,629",37.3%,Indian National Congress
366,,3,Anilkumar Chhitubhai Bhagat,"49,289",4.6%,Janata Dal (United)
367,,,,,,
368,Bhatinda,1,Harsimrat Kaur Badal,"514,727",43.7%,Shiromani Akali Dal
369,,2,Manpreet Singh Badal S/o Gurdas Singh,"495,332",42.1%,Indian National Congress
370,,3,Jasraj Singh Longia,"87,901",7.5%,Aam Aadmi Party
371,,,,,,
372,Bhavnagar,1,Dr. Bharatiben Dhirubhai Shiyal,"549,529",59.9%,Bharatiya Janta Party
373,,2,Rathod Pravinbhai Jinabhai,"254,041",27.7%,Indian National Congress
374,,3,Dr. Kanubhai V. Kalsaria,"49,540",5.4%,Aam Aadmi Party
375,,,,,,
376,Bhilwara,1,Subhash Baheria,"630,317",57.1%,Bharatiya Janta Party
377,,2,Ashok Chandna,"384,053",34.8%,Indian National Congress
378,,3,Govind Kumar Bairwa,"15,088",1.4%,Bahujan Samaj Party
379,,,,,,
380,Bhind,1,Dr. Bhagirath Prasad,"404,474",55.5%,Bharatiya Janta Party
381,,2,Imarti Devi,"244,513",33.5%,Indian National Congress
382,,3,Manish Katroliya,"33,803",4.6%,Bahujan Samaj Party
383,,,,,,
384,Bhiwandi,1,Kapil Moreshwar Patil,"411,070",46.9%,Bharatiya Janta Party
385,,2,Patil Vishwanath Ramchandra,"301,620",34.4%,Indian National Congress
386,,3,Suresh (BALYA MAMA) GOPINATH MHATRE,"93,647",10.7%,Maharashtra Navnirman Sena
387,,,,,,
388,Bhiwani-Mahendragarh,1,Dharambir S/o Bhale Ram,"404,542",39.3%,Bharatiya Janta Party
389,,2,Bahadur Singh,"275,148",26.7%,Indian National Lok Dal
390,,3,Shruti Choudhry,"268,115",26.0%,Indian National Congress
391,,,,,,
392,Bhongir,1,Dr. Boora Narsaiah Goud,"448,245",37.0%,Telangana Rashtra Samithi
393,,2,Komatireddy Rajgopal Reddy,"417,751",34.5%,Indian National Congress
394,,3,Indrasena Reddy Nallu,"183,217",15.1%,Bharatiya Janta Party
395,,,,,,
396,Bhopal,1,Alok Sanjar,"714,178",63.2%,Bharatiya Janta Party
397,,2,P C Sharma (PRAKASH MANGILAL SHARMA ),"343,482",30.4%,Indian National Congress
398,,3,Rachna Dhingra,"21,298",1.9%,Aam Aadmi Party
399,,,,,,
400,Bhubaneswar,1,Prasanna Kumar Patasani,"439,252",49.3%,Biju Janata Dal
401,,2,Prithiviraj Harichandan,"249,775",28.0%,Bharatiya Janta Party
402,,3,Bijay Mohanty,"145,783",16.3%,Indian National Congress
403,,,,,,
404,Bidar,1,Bhagwanth Khuba,"459,290",47.9%,Bharatiya Janta Party
405,,2,N. Dharam Singh,"367,068",38.3%,Indian National Congress
406,,3,Bandeppa Khashempur,"58,728",6.1%,Janata Dal (Secular)
407,,,,,,
408,Bijapur,1,Ramesh Jigajinagi,"471,757",48.8%,Bharatiya Janta Party
409,,2,Prakash Rathod,"401,938",41.6%,Indian National Congress
410,,3,K Shivram,"57,551",6.0%,Janata Dal (Secular)
411,,,,,,
412,Bijnor,1,Kunwar Bhartendra,"486,913",45.9%,Bharatiya Janta Party
413,,2,Shahnawaz Rana,"281,139",26.5%,Samajwadi Party
414,,3,Malook Nagar,"230,124",21.7%,Bahujan Samaj Party
415,,,,,,
416,Bikaner,1,Arjun Ram Meghwal,"584,932",62.9%,Bharatiya Janta Party
417,,2,Er. Shankar Pannu,"276,853",29.8%,Indian National Congress
418,,3,Mangilal Nayak,"16,839",1.8%,National Unionist Zamindara Party
419,,,,,,
420,Bilaspur,1,Lakhan Lal Sahu,"561,387",51.5%,Bharatiya Janta Party
421,,2,Karuna Shukla,"384,951",35.3%,Indian National Congress
422,,3,Dharam Bhargav,"26,340",2.4%,Bahujan Samaj Party
423,,,,,,
424,Birbhum,1,Satabdi Roy,"460,568",36.1%,All India Trinamool Congress
425,,2,Dr. Elahi Kamre Mahammad,"393,305",30.8%,Communist Party Of India (MARXIST)
426,,3,Joy Banerjee,"235,753",18.5%,Bharatiya Janta Party
427,,,,,,
428,Bishnupur,1,Khan Saumitra,"578,870",45.5%,All India Trinamool Congress
