,Place,Rank,Name,No.of votes,Percentage of votes,Party
228,Bangalore North,1,D. B. Chandre Gowda,"452,920",45.2%,Bharatiya Janta Party
229,,2,C. K. Jaffer Sharief,"393,255",39.3%,Indian National Congress
230,,3,R. Surendra Babu,"110,983",11.1%,Janata Dal (Secular)
231,,,,,,
232,Bangalore Rural,1,H D Kumaraswamy,"493,302",44.7%,Janata Dal (Secular)
233,,2,C. P. Yogeeshwara,"363,027",32.9%,Bharatiya Janta Party
234,,3,Tejasvini Gowda,"192,822",17.5%,Indian National Congress
235,,,,,,
236,Bangalore South,1,Ananth Kumar,"437,953",48.2%,Bharatiya Janta Party
237,,2,Krishna Byre Gowda,"400,341",44.1%,Indian National Congress
238,,3,Prof.Radhakrishna,"30,045",3.3%,Janata Dal (Secular)
239,,,,,,
240,Bangaon,1,Gobinda Chandra Naskar,"546,596",50.7%,All India Trinamool Congress
241,,2,Asim Bala,"453,770",42.1%,Communist Party Of India (MARXIST)
242,,3,Krishnapada Majumder,"42,610",4.0%,Bharatiya Janta Party
243,,,,,,
244,Banka,1,Digvijay Singh,"185,762",28.5%,Independent
245,,2,Jai Prakesh Narain Yadav,"157,046",24.1%,Rashtriya Janata Dal
246,,3,Damodar Rawat,"111,933",17.2%,Janata Dal (United)
247,,,,,,
248,Bankura,1,Acharia Basudeb,"469,223",47.6%,Communist Party Of India (MARXIST)
249,,2,Subrata Mukherjee,"361,421",36.7%,Indian National Congress
250,,3,Rahul (Biswajit) Sinha,"42,660",4.3%,Bharatiya Janta Party
251,,,,,,
252,Bansgaon,1,Kamlesh Paswan,"223,011",34.4%,Bharatiya Janta Party
253,,2,Shree Nath Ji,"170,224",26.2%,Bahujan Samaj Party
254,,3,Sharada Devi,"113,170",17.4%,Samajwadi Party
255,,,,,,
256,Banswara,1,Tarachand Bhagora,"413,169",53.7%,Indian National Congress
257,,2,Hakaru Maida,"213,751",27.8%,Bharatiya Janta Party
258,,3,Prabhulal Rawat,"71,543",9.3%,Janata Dal (United)
259,,,,,,
260,Bapatla,1,Panabaka Lakshmi,"460,757",44.0%,Indian National Congress
261,,2,Malyadri Sriram,"391,419",37.4%,Telugu Desam
262,,3,Nuthakki Rama Rao,"144,593",13.8%,Praja Rajyam Party
263,,,,,,
264,Barabanki,1,P.L.Punia,"328,418",44.2%,Indian National Congress
265,,2,Ram Sagar,"160,505",21.6%,Samajwadi Party
266,,3,Kamala Prasad Rawat,"159,837",21.5%,Bahujan Samaj Party
267,,,,,,
268,Baramati,1,Supriya Sule,"487,827",66.5%,Nationalist Congress Party
269,,2,Kanta Jaysing Nalawade,"150,996",20.6%,Bharatiya Janta Party
270,,3,Kudalepatil Vivek Anant,"29,864",4.1%,Bahujan Samaj Party
271,,,,,,
272,Baramulla,1,Sharief Ud Din Shariq,"203,022",46.0%,Jammu &amp; Kashmir National Conference
273,,2,Mohammad Dilawar Mir,"138,208",31.3%,Jammu &amp; Kashmir Peoples Democratic Party
274,,3,Sajad Gani Lone,"65,403",14.8%,Jammu &amp; Kashmir People Conference
275,,,,,,
276,Barasat,1,Kakali Ghosh Dastidar,"522,530",50.9%,All India Trinamool Congress
277,,2,Sudin Chattopadhyay,"399,629",38.9%,All India Forward Bloc
278,,3,Bratin Sengupta,"55,353",5.4%,Bharatiya Janta Party
279,,,,,,
280,Bardhaman Purba,1,Anup Kumar Saha,"531,987",47.3%,Communist Party Of India (MARXIST)
281,,2,Ashoke Biswas,"472,568",42.0%,All India Trinamool Congress
282,,3,Sankar Halder,"71,632",6.4%,Bharatiya Janta Party
283,,,,,,
284,Bardoli,1,Chaudhari Tusharbhai Amrasinhbhai,"398,430",47.8%,Indian National Congress
285,,2,Vasava Riteshkumar Amarsinh,"339,445",40.8%,Bharatiya Janta Party
286,,3,Vasava Pravinsinh Jagatsinh,"26,269",3.2%,Independent
287,,,,,,
288,Bareilly,1,Praveen Singh Aron,"220,976",31.3%,Indian National Congress
289,,2,Santosh Gangwar,"211,638",30.0%,Bharatiya Janta Party
290,,3,Islam Sabir Ansari,"181,996",25.8%,Bahujan Samaj Party
291,,,,,,
292,Bargarh,1,Sanjay Bhoi,"397,375",43.2%,Indian National Congress
293,,2,Dr. Hamid Hussain,"298,931",32.5%,Biju Janata Dal
294,,3,Radharani Panda,"157,750",17.2%,Bharatiya Janta Party
295,,,,,,
296,Barmer,1,Harish Choudhary,"416,497",53.0%,Indian National Congress
297,,2,Manvendra Singh,"297,391",37.8%,Bharatiya Janta Party
298,,3,Popatram,"18,806",2.4%,Independent
299,,,,,,
300,Barpeta,1,Ismail Hussain,"322,137",35.7%,Indian National Congress
301,,2,Bhupen Ray,"291,708",32.3%,Asom Gana Parisad
302,,3,Abdus Samad Ahmed,"216,083",23.9%,Assam United Democratic Front
303,,,,,,
304,Barrackpore,1,Dinesh Trivedi,"428,699",49.2%,All India Trinamool Congress
305,,2,Tarit Baran Topdar,"372,675",42.8%,Communist Party Of India (MARXIST)
306,,3,Prabhakar Tewari,"30,970",3.6%,Bharatiya Janta Party
307,,,,,,
308,Basirhat,1,Sk. Nurul Islam,"479,650",46.2%,All India Trinamool Congress
309,,2,Ajay Chakraborty,"419,267",40.4%,Communist Party Of India
310,,3,Swapan Kumar Nandi,"68,031",6.6%,Bharatiya Janta Party
311,,,,,,
312,Bastar,1,Baliram Kashyap,"249,373",44.2%,Bharatiya Janta Party
313,,2,Shankar Sodi,"149,111",26.4%,Indian National Congress
314,,3,Manish Kunjam,"78,420",13.9%,Communist Party Of India
315,,,,,,
316,Basti,1,Arvind Kumar Chaudhary,"268,666",34.7%,Bahujan Samaj Party
317,,2,Raj Kishor Singh,"163,456",21.1%,Samajwadi Party
318,,3,Dr. Y. D. Singh,"117,259",15.2%,Bharatiya Janta Party
319,,,,,,
320,Bathinda,1,Harsimrat Kaur Badal,"529,472",50.5%,Shiromani Akali Dal
321,,2,Raninder Singh,"408,524",39.0%,Indian National Congress
322,,3,Nem Chand,"35,094",3.3%,Bahujan Samaj Party
323,,,,,,
324,Beed,1,Munde Gopinathrao Pandurang,"553,994",51.6%,Bharatiya Janta Party
325,,2,Kokate Ramesh Baburao (Adaskar),"413,042",38.5%,Nationalist Congress Party
326,,3,Maske Machindra Baburao,"25,284",2.4%,Bahujan Samaj Party
327,,,,,,
328,Begusarai,1,Dr. Monazir Hassan,"205,680",28.6%,Janata Dal (United)
329,,2,Shatrughna Prasad Singh,"164,843",22.9%,Communist Party Of India
330,,3,Anil Chaudhary,"121,786",17.0%,Lok Jan Shakti Party
331,,,,,,
332,Belgaum,1,Angadi Suresh Channabasappa,"384,324",51.0%,Bharatiya Janta Party
333,,2,Amarsinh Vasantrao Patil,"265,637",35.2%,Indian National Congress
334,,3,A. B. Patil,"68,594",9.1%,Janata Dal (Secular)
335,,,,,,
336,Bellary,1,J. Shantha,"402,213",46.7%,Bharatiya Janta Party
337,,2,N.Y. Hanumanthappa,"399,970",46.5%,Indian National Congress
338,,3,A. Ramanjanappa,"16,167",1.9%,Independent
339,,,,,,
340,Berhampur,1,Sidhant Mohapatra,"319,839",45.0%,Biju Janata Dal
341,,2,Chandra Sekhar Sahu,"262,552",36.9%,Indian National Congress
342,,3,Bharat Paik,"78,929",11.1%,Bharatiya Janta Party
343,,,,,,
344,Betul,1,Jyoti Dhurve,"334,939",52.6%,Bharatiya Janta Party
345,,2,Ojharam Evane,"237,622",37.3%,Indian National Congress
346,,3,Sunil Kumar Kawde,"13,912",2.2%,Independent
347,,,,,,
348,Bhadohi,1,Gorakhnath,"195,808",29.7%,Bahujan Samaj Party
349,,2,Chhotelal Bind,"182,845",27.8%,Samajwadi Party
350,,3,Surymani Tiwari,"93,351",14.2%,Indian National Congress
351,,,,,,
352,Bhadrak,1,Arjun Charan Sethi,"416,808",44.8%,Biju Janata Dal
353,,2,Ananta Prasad Sethi,"361,870",38.9%,Indian National Congress
354,,3,Ratha Das,"122,431",13.2%,Bharatiya Janta Party
355,,,,,,
356,Bhagalpur,1,Syed Shahnawaz Hussain,"228,384",36.3%,Bharatiya Janta Party
357,,2,Shakuni Choudhary,"172,573",27.4%,Rashtriya Janata Dal
358,,3,Ajit Sharma,"55,387",8.8%,Bahujan Samaj Party
359,,,,,,
360,Bhandara - Gondiya,1,Patel Praful Manoharbhai,"489,814",47.5%,Nationalist Congress Party
361,,2,Nanabhau Falgunrao Patole,"237,899",23.1%,Independent
362,,3,Patle Shishupal Natthuji,"158,938",15.4%,Bharatiya Janta Party
363,,,,,,
364,Bharatpur,1,Ratan Singh,"301,434",53.7%,Indian National Congress
365,,2,Khemchand,"219,980",39.2%,Bharatiya Janta Party
366,,3,Muhar Singh,"23,178",4.1%,Bahujan Samaj Party
367,,,,,,
368,Bharuch,1,Mansukhbhai Dhanjibhai Vasava,"311,019",41.5%,Bharatiya Janta Party
369,,2,Umerji Ahmed Ugharatdar (Aziz Tankarvi),"283,787",37.9%,Indian National Congress
370,,3,Vasava Chhotubhai Amarsinhbhai,"63,661",8.5%,Janata Dal (United)
371,,,,,,
372,Bhavnagar,1,Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana),"213,376",34.2%,Bharatiya Janta Party
373,,2,Gohilmahavirsinhbhagir Athsinh,"207,483",33.3%,Indian National Congress
374,,3,Zadafia Gordhanbhai Pragjibhai,"156,570",25.1%,Mahagujarat Janta Party
375,,,,,,
376,Bhilwara,1,C P Joshi,"413,128",54.7%,Indian National Congress
377,,2,Vijayendra Pal Singh,"277,760",36.8%,Bharatiya Janta Party
378,,3,Harish Gurjar,"28,141",3.7%,Bahujan Samaj Party
379,,,,,,
380,Bhind,1,Ashok Argal Chhaviram,"227,365",43.4%,Bharatiya Janta Party
381,,2,Dr. Bhagirath Prasad,"208,479",39.8%,Indian National Congress
382,,3,D.R.Rahul,"60,803",11.6%,Bahujan Samaj Party
383,,,,,,
384,Bhiwandi,1,Taware Suresh Kashinath,"182,789",31.3%,Indian National Congress
385,,2,Patil Jagannath Shivram,"141,425",24.2%,Bharatiya Janta Party
386,,3,Devraj Kisan Mhatre,"107,090",18.3%,Maharashtra Navnirman Sena
387,,,,,,
388,Bhiwani-Mahendragarh,1,Shruti Choudhry,"302,817",35.0%,Indian National Congress
389,,2,Ajay Singh Chautala,"247,240",28.6%,Indian National Lok Dal
390,,3,Narender Singh,"214,161",24.8%,Haryana Janhit Congress (BL)
391,,,,,,
392,Bhongir,1,Komatireddy Raj Gopal Reddy,"504,103",44.6%,Indian National Congress
393,,2,Nomula Narsimhaiah,"364,215",32.2%,Communist Party Of India (MARXIST)
394,,3,Chandra Mouli Gandam,"104,872",9.3%,Praja Rajyam Party
395,,,,,,
396,Bhopal,1,Kailash Joshi,"335,678",50.9%,Bharatiya Janta Party
397,,2,Surendra Singh Thakur,"270,521",41.0%,Indian National Congress
398,,3,Er. Ashok Narayan Singh,"18,649",2.8%,Bahujan Samaj Party
399,,,,,,
400,Bhubaneswar,1,Prasanna Kumar Patasani,"400,472",56.3%,Biju Janata Dal
401,,2,Santosh Mohanty,"147,712",20.8%,Indian National Congress
402,,3,Archana Nayak,"93,980",13.2%,Bharatiya Janta Party
403,,,,,,
404,Bidar,1,N.Dharam Singh,"337,957",43.4%,Indian National Congress
405,,2,Gurupadappa Nagmarpalli,"298,338",38.3%,Bharatiya Janta Party
406,,3,Subhash Tippanna Nelge,"49,303",6.3%,Janata Dal (Secular)
407,,,,,,
408,Bijapur,1,Jigajinagi Ramesh Chandappa,"308,939",47.6%,Bharatiya Janta Party
409,,2,Prakash Kubasing Rathod,"266,535",41.0%,Indian National Congress
410,,3,Almelkar Vilasababu Basalingappa,"33,177",5.1%,Janata Dal (Secular)
411,,,,,,
412,Bijnor,1,Sanjay Singh Chauhan,"244,587",34.6%,Rashtriya Lok Dal
413,,2,Shahid Siddiqui,"216,157",30.5%,Bahujan Samaj Party
414,,3,Saiduzzaman,"85,158",12.0%,Indian National Congress
415,,,,,,
416,Bikaner,1,Arjun Ram Meghwal,"244,537",42.9%,Bharatiya Janta Party
417,,2,Rewat Ram Panwar,"224,962",39.5%,Indian National Congress
418,,3,Govind Ram Meghwal,"39,306",6.9%,Bahujan Samaj Party
419,,,,,,
420,Bilaspur,1,Dilip Singh Judev,"347,930",45.2%,Bharatiya Janta Party
421,,2,Dr.Renu Jogi,"327,791",42.6%,Indian National Congress
422,,3,Advocate T.R.Nirala,"20,108",2.6%,Bahujan Samaj Party
423,,,,,,
424,Birbhum,1,Satabdi Roy,"486,553",47.8%,All India Trinamool Congress
425,,2,Braja Mukherjee,"425,034",41.8%,Communist Party Of India (MARXIST)
426,,3,Tapas Mukherjee,"47,068",4.6%,Bharatiya Janta Party
427,,,,,,
428,Bishnupur,1,Susmita Bauri,"541,075",51.3%,Communist Party Of India (MARXIST)
429,,2,Seuli Saha,"411,709",39.1%,All India Trinamool Congress
430,,3,Jayanta Mondal,"41,908",4.0%,Bharatiya Janta Party
431,,,,,,
432,Bolangir,1,Kalikesh Narayan Singh Deo,"430,150",42.5%,Biju Janata Dal
433,,2,Narasingha Mishra,"339,315",33.5%,Indian National Congress
434,,3,Sangeeta Kumari Singh Deo,"191,739",19.0%,Bharatiya Janta Party
435,,,,,,
436,Bolpur,1,Doctor Ram Chandra Dome,"538,383",49.9%,Communist Party Of India (MARXIST)
437,,2,Asit Kumar Mal,"411,501",38.1%,Indian National Congress
