,Name,No.of votes,Percentage of votes,Party
62,Sukhadiya Nathalal Vallabhbhai,"15,520",1.9%,Aam Aadmi Party
63,Captain Amarinder Singh,"482,876",47.9%,Indian National Congress
64,Arun Jaitley,"380,106",37.7%,Bharatiya Janta Party
65,Dr. Daljit Singh,"82,633",8.2%,Aam Aadmi Party
66,Kanwar Singh Tanwar,"528,880",48.3%,Bharatiya Janta Party
67,Humera Akhtar,"370,666",33.8%,Samajwadi Party
68,Farhat Hasan,"162,983",14.9%,Bahujan Samaj Party
69,Muttamsetti Srinivasa Rao (AVANTHI),"568,463",49.5%,Telugu Desam
70,Gudivada Amarnadh,"520,531",45.3%,Yuvajana Sramika Rythu Congress Party
71,Vijaya Lakshmi Thota,"17,770",1.5%,Indian National Congress
72,Dilip Patel,"490,829",50.6%,Bharatiya Janta Party
73,Solanki Bharatbhai Madhavsinh,"427,403",44.0%,Indian National Congress
74,Vahora Firojbhai Walimahamadbhai (KASORWALA),"6,689",0.7%,Independent
75,Prem Singh Chandumajra,"347,394",32.0%,Shiromani Akali Dal
76,Ambika Soni,"323,697",29.8%,Indian National Congress
77,Himmat Singh Shergill,"306,008",28.2%,Aam Aadmi Party
78,J.C. Divakar Reddi,"606,509",50.3%,Telugu Desam
79,Anantha Venkataramireddy,"545,240",45.2%,Yuvajana Sramika Rythu Congress Party
80,Anil Chowdary. P,"16,659",1.4%,Indian National Congress
81,Mehbooba Mufti,"200,429",53.4%,Jammu &amp; Kashmir Peoples Democratic Party
82,Mirza Mehboob Beg,"135,012",36.0%,Jammu &amp; Kashmir National Conference
83,Tanveer Hussain Khan,"7,340",2.0%,Independent
84,Bishnu Pada Ray,"90,969",47.8%,Bharatiya Janta Party
85,Kuldeep Rai Sharma,"83,157",43.7%,Indian National Congress
86,Sanjay Meshack,"3,737",2.0%,Aam Aadmi Party
87,Dharmendra Kumar,"409,907",41.2%,Bharatiya Janta Party
88,Kunwar Sarvraj Singh,"271,478",27.3%,Samajwadi Party
89,Sunita Shakya,"190,200",19.1%,Bahujan Samaj Party
90,"Hari, G.","493,534",45.3%,All India Anna Dravida Munnetra Kazhagam
91,"Elango, N.R","252,768",23.2%,Dravida Munetra Kazhagam
92,"Velu, R.","233,762",21.5%,Pattali Makkal Katchi
93,Aparupa Poddar (AFRIN ALI),"748,764",55.0%,All India Trinamool Congress
94,Saktimohan Malik,"401,919",29.5%,Communist Party Of India (MARXIST)
95,Madhusudan Bag,"158,480",11.6%,Bharatiya Janta Party
96,V.Elumalai,"502,721",45.9%,All India Anna Dravida Munnetra Kazhagam
97,R.Sivanandam,"258,877",23.6%,Dravida Munetra Kazhagam
98,A.K.Moorthy,"253,332",23.1%,Pattali Makkal Katchi
99,Tasleem Uddin,"407,978",41.8%,Rashtriya Janata Dal
100,Pradeep Kumar Singh,"261,474",26.8%,Bharatiya Janta Party
101,Vijay Kumar Mandal,"221,769",22.7%,Janata Dal (United)
102,Raj Kumar Singh,"391,074",43.8%,Bharatiya Janta Party
103,Sribhagwan Singh Kushwaha,"255,204",28.6%,Rashtriya Janata Dal
104,Raju Yadav,"98,805",11.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
105,Kothapalli Geetha,"413,191",45.4%,Yuvajana Sramika Rythu Congress Party
106,Gummidi Sandhyarani,"321,793",35.4%,Telugu Desam
107,Kishore Chandra Deo,"52,884",5.8%,Indian National Congress
108,Ninong Ering,"118,455",45.3%,Indian National Congress
109,Tapir Gao,"105,977",40.6%,Bharatiya Janta Party
110,Wangman Lowangcha,"32,354",12.4%,Peoples Party Of Arunachal
111,Kiren Rijiju,"169,367",50.5%,Bharatiya Janta Party
112,Takam Sanjoy,"127,629",38.0%,Indian National Congress
113,Jalley Sonam,"14,664",4.4%,Peoples Party Of Arunachal
114,Babul Supriya Baral (BABUL SUPRIYO),"419,983",36.8%,Bharatiya Janta Party
115,Dola Sen,"349,503",30.6%,All India Trinamool Congress
116,Bansa Gopal Choudhury,"255,829",22.4%,Communist Party Of India (MARXIST)
117,Ladu Kishore Swain,"541,473",60.4%,Biju Janata Dal
118,Srilokanath Ratha,"229,476",25.6%,Indian National Congress
119,Mahesh Chandra Mohanty,"67,361",7.5%,Bharatiya Janta Party
120,Dr.A .Sampath,"392,478",45.7%,Communist Party Of India (MARXIST)
121,Adv.Bindhu Krishna,"323,100",37.6%,Indian National Congress
122,Girija Kumari.S,"90,528",10.5%,Bharatiya Janta Party
123,Chandrakant Bhaurao Khaire,"520,902",53.0%,Shiv Sena
124,Patil Nitin Suresh,"358,902",36.5%,Indian National Congress
125,Jevrikar Indrakumar Dnyanoba,"37,419",3.8%,Bahujan Samaj Party
126,Sushil Kumar Singh,"307,941",39.2%,Bharatiya Janta Party
127,Nikhil Kumar,"241,594",30.7%,Indian National Congress
128,Bagi Kumar Verma,"136,137",17.3%,Janata Dal (United)
129,Biren Singh Engti,"213,152",39.2%,Indian National Congress
130,Joy Ram Engleng,"189,057",34.8%,Bharatiya Janta Party
131,Chomang Kro,"108,299",19.9%,Independent
132,Mulayam Singh Yadav,"340,306",35.4%,Samajwadi Party
133,Ramakant Yadav,"277,102",28.9%,Bharatiya Janta Party
134,Shah Alam Alias Guddu Jamali,"266,528",27.8%,Bahujan Samaj Party
135,Dharmendra Yadav,"498,378",48.5%,Samajwadi Party
136,Vagish Pathak,"332,031",32.3%,Bharatiya Janta Party
137,Akmal Khan Urf Chaman,"156,973",15.3%,Bahujan Samaj Party
138,Gaddigoudar Parvtagouda Chandanagouda,"571,548",53.0%,Bharatiya Janta Party
139,Ajay Kumar Sarnaik,"454,988",42.2%,Indian National Congress
140,Shankar Bidari,"10,959",1.0%,Independent
141,Dr. Satya Pal Singh,"423,475",42.2%,Bharatiya Janta Party
142,Ghulam Mohammed,"213,609",21.3%,Samajwadi Party
143,Ajit Singh,"199,516",19.9%,Rashtriya Lok Dal
144,Adhir Ranjan Chowdhury,"583,549",50.5%,Indian National Congress
145,Indranil Sen,"226,982",19.7%,All India Trinamool Congress
146,Pramothes Mukherjee,"225,699",19.5%,Revolutionary Socialist Party
147,Sadhvi Savitri Bai Foole,"432,392",46.3%,Bharatiya Janta Party
148,Shabbir Ahmad,"336,747",36.0%,Samajwadi Party
149,Dr.Vijay Kumar,"96,904",10.4%,Bahujan Samaj Party
150,Bodhsingh Bhagat,"480,594",43.2%,Bharatiya Janta Party
151,Hina Likhiram Kawre,"384,553",34.5%,Indian National Congress
152,Anubha Munjare,"99,392",8.9%,Samajwadi Party
153,Rabindra Kumar Jena,"433,768",41.3%,Biju Janata Dal
154,Pratap Chandra Sarangi,"291,943",27.8%,Bharatiya Janta Party
155,Shrikanta Kumar Jena,"277,517",26.4%,Indian National Congress
156,Bharat Singh,"359,758",38.2%,Bharatiya Janta Party
157,Neeraj Shekhar,"220,324",23.4%,Samajwadi Party
158,Afzal Ansari,"163,943",17.4%,Quami Ekta Dal
159,Arpita Ghosh,"409,641",38.5%,All India Trinamool Congress
160,Bimalendu Sarkar (BIMAL),"302,677",28.5%,Revolutionary Socialist Party
161,Biswapriya Roy Choudhury,"223,014",21.0%,Bharatiya Janta Party
162,Chaudhary Haribhai Parthibhai,"507,856",57.3%,Bharatiya Janta Party
163,Patel Joitabhai Kasnabhai,"305,522",34.5%,Indian National Congress
164,Mahant Parsotamgiri Turantgiri,"11,175",1.3%,Bahujan Samaj Party
165,Bhairon Prasad Mishra,"342,066",39.9%,Bharatiya Janta Party
166,R. K. Singh Patel,"226,278",26.4%,Bahujan Samaj Party
167,Bal Kumar Patel Alias Rajkumar,"189,730",22.1%,Samajwadi Party
168,P.C. Mohan,"557,130",51.8%,Bharatiya Janta Party
169,Rizwan Arshad,"419,630",39.1%,Indian National Congress
170,V. Balakrishnan,"39,869",3.7%,Aam Aadmi Party
171,D.V Sadananda Gowda,"718,326",52.9%,Bharatiya Janta Party
172,C.Narayana Swamy,"488,562",36.0%,Indian National Congress
173,Abdul Azeem,"92,681",6.8%,Janata Dal (Secular)
174,D K Suresh,"652,723",44.9%,Indian National Congress
175,Muniraju Gowda . P,"421,243",28.9%,Bharatiya Janta Party
176,R. Prabhakara Reddy,"317,870",21.8%,Janata Dal (Secular)
177,Ananth Kumar,"633,816",56.9%,Bharatiya Janta Party
178,Nandan Nilekani,"405,241",36.4%,Indian National Congress
179,Ruth Manorama,"25,677",2.3%,Janata Dal (Secular)
180,Kapil Krishna Thakur,"551,213",42.9%,All India Trinamool Congress
181,Debesh Das,"404,612",31.5%,Communist Party Of India (MARXIST)
182,K.D. Biswas,"244,783",19.1%,Bharatiya Janta Party
183,Jai Prakash Narayan Yadav,"285,150",31.7%,Rashtriya Janata Dal
184,Putul Kumari,"275,006",30.6%,Bharatiya Janta Party
185,Sanjay Kumar -I,"220,708",24.5%,Communist Party Of India
186,Sreemati Dev Varma (MOON MOON SEN),"483,455",39.1%,All India Trinamool Congress
187,Acharia Basudeb,"384,949",31.1%,Communist Party Of India (MARXIST)
188,Subhas Kumar Sarkar,"251,183",20.3%,Bharatiya Janta Party
189,Kamlesh Paswan,"417,959",47.6%,Bharatiya Janta Party
190,Sadal Prasad,"228,443",26.0%,Bahujan Samaj Party
191,Gorakh Prasad Paswan,"133,675",15.2%,Samajwadi Party
192,Manshankar Ninama,"577,433",49.3%,Bharatiya Janta Party
193,Resham Malviya,"485,517",41.5%,Indian National Congress
194,Vijaypal,"27,886",2.4%,Bahujan Samaj Party
195,Malyadri Sriram,"578,145",48.8%,Telugu Desam
196,Varikuti Amruthapani,"545,391",46.0%,Yuvajana Sramika Rythu Congress Party
197,Panabaka Lakshmi,"23,072",1.9%,Indian National Congress
198,Priyanka Singh Rawat,"454,214",42.5%,Bharatiya Janta Party
199,P. L. Punia,"242,336",22.7%,Indian National Congress
200,Kamla Prasad Rawat,"167,150",15.6%,Bahujan Samaj Party
201,Supriya Sule,"521,562",48.9%,Nationalist Congress Party
202,Mahadev Jagannath Jankar,"451,843",42.4%,Rashtriya Samaj Paksha
203,Suresh Khopade,"26,396",2.5%,Aam Aadmi Party
204,Muzaffar Hussain Baig,"175,277",37.6%,Jammu &amp; Kashmir Peoples Democratic Party
205,Sharief Ud-Din Shariq,"146,058",31.3%,Jammu &amp; Kashmir National Conference
206,Salamuddin Bajad,"71,154",15.3%,Jammu &amp; Kashmir People Conference
207,Dr. Kakali Ghoshdostidar,"525,387",41.4%,All India Trinamool Congress
208,Dr. Mortoza Hossain,"352,246",27.8%,All India Forward Bloc
209,P.C. Sorcar Junior,"296,608",23.4%,Bharatiya Janta Party
210,Sunil Kumar Mondal,"574,660",43.5%,All India Trinamool Congress
211,Iswar Chandra Das,"460,181",34.8%,Communist Party Of India (MARXIST)
212,Santosh Roy,"170,828",12.9%,Bharatiya Janta Party
213,Vasava Parbhubhai Nagarbhai,"622,769",51.6%,Bharatiya Janta Party
214,Chaudhari Tusharbhai Amarsinhbhai,"498,885",41.4%,Indian National Congress
215,Chaudhari Revaben Shankarbhai,"13,270",1.1%,Communist Party Of India
216,Santosh Kumar Gangwar,"518,258",50.9%,Bharatiya Janta Party
217,Ayesha Islam,"277,573",27.3%,Samajwadi Party
218,Umesh Gautam,"106,049",10.4%,Bahujan Samaj Party
219,Prabhas Kumar Singh,"383,230",34.1%,Biju Janata Dal
220,Subash Chouhan,"372,052",33.1%,Bharatiya Janta Party
221,Sanjay Bhoi,"274,610",24.4%,Indian National Congress
222,Col. Sona Ram,"488,747",40.1%,Bharatiya Janta Party
223,Jaswant Singh,"401,286",32.9%,Independent
224,Harish Chaudhary,"220,881",18.1%,Indian National Congress
225,Siraj Uddin Ajmal,"394,702",32.7%,All India United Democratic Front
226,Chandra Mohan Patowary,"352,361",29.2%,Bharatiya Janta Party
227,Ismail Hussain,"277,802",23.0%,Indian National Congress
228,Dinesh Trivedi,"479,206",45.6%,All India Trinamool Congress
229,Subhashini Ali,"272,433",25.9%,Communist Party Of India (MARXIST)
230,Rumesh Kumar Handa,"230,401",21.9%,Bharatiya Janta Party
231,Idris Ali,"492,326",38.7%,All India Trinamool Congress
232,Nurul Huda,"382,667",30.0%,Communist Party Of India
233,Samik Bhattacharya,"233,887",18.4%,Bharatiya Janta Party
234,Dinesh Kashyap,"385,829",50.1%,Bharatiya Janta Party
235,Deepak Karma (BUNTY),"261,470",34.0%,Indian National Congress
236,Bimala Sori,"33,883",4.4%,Communist Party Of India
237,Harish Chandra Alias Harish Dwivedi,"357,680",34.1%,Bharatiya Janta Party
238,Brij Kishor Singh Dimpal,"324,118",30.9%,Samajwadi Party
239,Ram Prasad Chaudhary,"283,747",27.1%,Bahujan Samaj Party
240,Munde Gopinathrao Pandurang,"635,995",51.6%,Bharatiya Janta Party
241,Dhas Suresh Ramchandra,"499,541",40.5%,Nationalist Congress Party
242,Rothod Digambar Ramrao,"14,166",1.1%,Bahujan Samaj Party
243,Bhola Singh,"428,227",39.7%,Bharatiya Janta Party
244,Md. Tanveer Hassan,"369,892",34.3%,Rashtriya Janata Dal
245,Rajendra Prasad Singh,"192,639",17.9%,Communist Party Of India
246,Angadi Suresh Channabasappa,"554,417",51.4%,Bharatiya Janta Party
247,Laxmi R. Hebbalkar,"478,557",44.4%,Indian National Congress
248,Angadi Muttappa Channasangappa,"8,524",0.8%,Aam Aadmi Party
249,B. Sreeramulu,"534,406",51.1%,Bharatiya Janta Party
250,N.Y. Hanumantappa,"449,262",43.0%,Indian National Congress
251,R. Ravinayaka,"12,613",1.2%,Janata Dal (Secular)
252,Sidhant Mohapatra,"398,107",44.0%,Biju Janata Dal
253,Chandra Sekhar Sahu,"270,387",29.9%,Indian National Congress
254,Rama Chandra Panda,"158,811",17.5%,Bharatiya Janta Party
255,Jyoti Dhurve,"643,651",61.4%,Bharatiya Janta Party
256,Ajay Shah Makrai,"315,037",30.1%,Indian National Congress
257,Rajesh Sariyam,"20,627",2.0%,Aam Aadmi Party
258,Virendra Singh,"403,544",41.1%,Bharatiya Janta Party
259,Rakesh Dhar Tripathi,"245,505",25.0%,Bahujan Samaj Party
260,Seema Mishra,"238,615",24.3%,Samajwadi Party
261,Arjun Charan Sethi,"502,338",46.5%,Biju Janata Dal
262,Sangram Keshari Jena,"322,979",29.9%,Indian National Congress
263,Sarat Das,"216,617",20.0%,Bharatiya Janta Party
264,Shailesh Kumar Urph Bulo Mandal,"367,623",37.7%,Rashtriya Janata Dal
265,Syed Shahnawaz Hussain,"358,138",36.8%,Bharatiya Janta Party
266,Abu Qaiser,"132,256",13.6%,Janata Dal (United)
267,Nanabhau Falgunrao Patole,"606,129",50.6%,Bharatiya Janta Party
268,Patel Praful Manoharbhai,"456,875",38.2%,Nationalist Congress Party
269,Eng. Sanjay Raghunath Nasare,"50,958",4.3%,Bahujan Samaj Party
270,Bahadur Singh,"579,825",60.2%,Bharatiya Janta Party
271,Dr.Suresh Jatav,"334,357",34.7%,Indian National Congress
272,Mahendar Kumar Jatav,"22,090",2.3%,Bahujan Samaj Party
273,Vasava Mansukhbhai Dhanjibhai,"548,902",51.8%,Bharatiya Janta Party
274,Patel Jayeshbhai Ambalalbhai (JAYESH KAKA),"395,629",37.3%,Indian National Congress
275,Anilkumar Chhitubhai Bhagat,"49,289",4.6%,Janata Dal (United)
276,Harsimrat Kaur Badal,"514,727",43.7%,Shiromani Akali Dal
277,Manpreet Singh Badal S/o Gurdas Singh,"495,332",42.1%,Indian National Congress
278,Jasraj Singh Longia,"87,901",7.5%,Aam Aadmi Party
279,Dr. Bharatiben Dhirubhai Shiyal,"549,529",59.9%,Bharatiya Janta Party
280,Rathod Pravinbhai Jinabhai,"254,041",27.7%,Indian National Congress
281,Dr. Kanubhai V. Kalsaria,"49,540",5.4%,Aam Aadmi Party
282,Subhash Baheria,"630,317",57.1%,Bharatiya Janta Party
283,Ashok Chandna,"384,053",34.8%,Indian National Congress
284,Govind Kumar Bairwa,"15,088",1.4%,Bahujan Samaj Party
285,Dr. Bhagirath Prasad,"404,474",55.5%,Bharatiya Janta Party
286,Imarti Devi,"244,513",33.5%,Indian National Congress
287,Manish Katroliya,"33,803",4.6%,Bahujan Samaj Party
288,Kapil Moreshwar Patil,"411,070",46.9%,Bharatiya Janta Party
289,Patil Vishwanath Ramchandra,"301,620",34.4%,Indian National Congress
290,Suresh (BALYA MAMA) GOPINATH MHATRE,"93,647",10.7%,Maharashtra Navnirman Sena
291,Dharambir S/o Bhale Ram,"404,542",39.3%,Bharatiya Janta Party
292,Bahadur Singh,"275,148",26.7%,Indian National Lok Dal
293,Shruti Choudhry,"268,115",26.0%,Indian National Congress
294,Dr. Boora Narsaiah Goud,"448,245",37.0%,Telangana Rashtra Samithi
295,Komatireddy Rajgopal Reddy,"417,751",34.5%,Indian National Congress
296,Indrasena Reddy Nallu,"183,217",15.1%,Bharatiya Janta Party
297,Alok Sanjar,"714,178",63.2%,Bharatiya Janta Party
298,P C Sharma (PRAKASH MANGILAL SHARMA ),"343,482",30.4%,Indian National Congress
299,Rachna Dhingra,"21,298",1.9%,Aam Aadmi Party
300,Prasanna Kumar Patasani,"439,252",49.3%,Biju Janata Dal
301,Prithiviraj Harichandan,"249,775",28.0%,Bharatiya Janta Party
302,Bijay Mohanty,"145,783",16.3%,Indian National Congress
303,Bhagwanth Khuba,"459,290",47.9%,Bharatiya Janta Party
304,N. Dharam Singh,"367,068",38.3%,Indian National Congress
305,Bandeppa Khashempur,"58,728",6.1%,Janata Dal (Secular)
306,Ramesh Jigajinagi,"471,757",48.8%,Bharatiya Janta Party
307,Prakash Rathod,"401,938",41.6%,Indian National Congress
308,K Shivram,"57,551",6.0%,Janata Dal (Secular)
309,Kunwar Bhartendra,"486,913",45.9%,Bharatiya Janta Party
310,Shahnawaz Rana,"281,139",26.5%,Samajwadi Party
311,Malook Nagar,"230,124",21.7%,Bahujan Samaj Party
312,Arjun Ram Meghwal,"584,932",62.9%,Bharatiya Janta Party
313,Er. Shankar Pannu,"276,853",29.8%,Indian National Congress
314,Mangilal Nayak,"16,839",1.8%,National Unionist Zamindara Party
315,Lakhan Lal Sahu,"561,387",51.5%,Bharatiya Janta Party
316,Karuna Shukla,"384,951",35.3%,Indian National Congress
317,Dharam Bhargav,"26,340",2.4%,Bahujan Samaj Party
318,Satabdi Roy,"460,568",36.1%,All India Trinamool Congress
319,Dr. Elahi Kamre Mahammad,"393,305",30.8%,Communist Party Of India (MARXIST)
320,Joy Banerjee,"235,753",18.5%,Bharatiya Janta Party
321,Khan Saumitra,"578,870",45.5%,All India Trinamool Congress
322,Susmita Bauri,"429,185",33.7%,Communist Party Of India (MARXIST)
323,Jayanta Mondal,"179,530",14.1%,Bharatiya Janta Party
324,Kalikesh Narayan Singh Deo,"453,519",38.7%,Biju Janata Dal
325,Sangeeta Kumari Singh Deo,"349,220",29.8%,Bharatiya Janta Party
326,Sarat Pattnayak,"277,616",23.7%,Indian National Congress
327,Anupam Hazra,"630,693",48.3%,All India Trinamool Congress
328,Dome Ramchandra,"394,581",30.2%,Communist Party Of India (MARXIST)
329,Kamini Mohan Sarkar,"197,474",15.1%,Bharatiya Janta Party
330,Bhola Singh,"604,449",59.9%,Bharatiya Janta Party
331,Pradeep Kumar Jatav,"182,476",18.1%,Bahujan Samaj Party
332,Kamlesh,"128,737",12.7%,Samajwadi Party
333,Jadhav Prataprao Ganpatrao,"509,145",52.0%,Shiv Sena
334,Ingle Krushanarao Ganpatrao,"349,566",35.7%,Nationalist Congress Party
335,Abdul Hafeez Abdul Aziz,"33,783",3.5%,Bahujan Samaj Party
336,Dr. Mamtaz Sanghamita,"554,521",41.7%,All India Trinamool Congress
337,Sk. Saidul Haque,"447,190",33.6%,Communist Party Of India (MARXIST)
338,Debasree Chaudhuri,"237,205",17.8%,Bharatiya Janta Party
339,Ashwini Kumar Choubey,"319,012",35.9%,Bharatiya Janta Party
340,Jagadanand Singh,"186,674",21.0%,Rashtriya Janata Dal
341,Dadan Yadav,"184,788",20.8%,Bahujan Samaj Party
342,Innocent,"358,440",40.5%,Independent
343,P C Chacko,"344,556",39.0%,Indian National Congress
344,Adv. B. Gopalakrishnan,"92,848",10.5%,Bharatiya Janta Party
345,R. Dhruvanarayana,"567,782",50.1%,Indian National Congress
346,A. R. Krishna Murthy,"426,600",37.7%,Bharatiya Janta Party
347,M Shivanna (KOTE),"58,760",5.2%,Janata Dal (Secular)
348,Dr Mahendra Nath Pandey,"414,135",42.2%,Bharatiya Janta Party
349,Anil Kumar Maurya,"257,379",26.2%,Bahujan Samaj Party
350,Ramkishun,"204,145",20.8%,Samajwadi Party
351,Kher Kirron Anupam,"191,362",42.2%,Bharatiya Janta Party
352,Pawan Kumar Bansal,"121,720",26.8%,Indian National Congress
353,Gulkirat Kaur Panag,"108,679",24.0%,Aam Aadmi Party
354,Dr. Harsh Vardhan,"437,938",44.6%,Bharatiya Janta Party
355,Ashutosh,"301,618",30.7%,Aam Aadmi Party
356,Kapil Sibal,"176,206",17.9%,Indian National Congress
357,Ahir Hansraj Gangaram,"508,049",45.8%,Bharatiya Janta Party
358,Deotale Sanjay Wamanrao,"271,780",24.5%,Indian National Congress
359,Chatap Wamanrao Sadashiv,"204,413",18.4%,Aam Aadmi Party
360,Sunil Kumar Singh,"295,862",41.5%,Bharatiya Janta Party
361,Dhiraj Prasad Sahu,"117,836",16.5%,Indian National Congress
362,Nilam Devi,"104,176",14.6%,Jharkhand Vikas Morcha (Prajatantrik)
363,Konda Vishweshwar Reddy,"435,077",33.1%,Telangana Rashtra Samithi
364,Patlolla Kartik Reddy,"362,054",27.5%,Indian National Congress
365,Tulla Veerender,"353,203",26.8%,Telugu Desam
366,S.R. Vijayakumar,"333,296",40.9%,All India Anna Dravida Munnetra Kazhagam
367,Dayanidhi Maran,"287,455",35.3%,Dravida Munetra Kazhagam
368,J. Constandine Ravindran,"114,798",14.1%,Desiya Murpokku Dravida Kazhagam
369,Venkatesh Babu .T.G,"406,704",44.7%,All India Anna Dravida Munnetra Kazhagam
370,Girirajan .R,"307,000",33.7%,Dravida Munetra Kazhagam
371,Soundarapandian .M,"86,989",9.6%,Desiya Murpokku Dravida Kazhagam
372,Dr. J. Jayavardhan,"438,404",40.5%,All India Anna Dravida Munnetra Kazhagam
373,T.K.S.Elangovan,"301,779",27.9%,Dravida Munetra Kazhagam
374,La.Ganesan,"256,786",23.8%,Bharatiya Janta Party
375,Kamal Nath,"559,755",50.5%,Indian National Congress
376,Choudhary Chandrabhan Kuber Singh,"443,218",40.0%,Bharatiya Janta Party
377,Pardeshi Hartapshah Tirgam,"25,628",2.3%,Gondvana Gantantra Party
378,Ramsinh Rathwa,"607,916",55.2%,Bharatiya Janta Party
379,Naranbhai Jemalabhai Rathva,"428,187",38.9%,Indian National Congress
380,Prof. Arjunbhai Versingbhai Rathva,"23,116",2.1%,Aam Aadmi Party
381,"Chandrakasi, M","429,536",39.5%,All India Anna Dravida Munnetra Kazhagam
382,"Thirumaavalavan, Thol","301,041",27.7%,Viduthalai Chiruthaigal Katchi
383,Sudhamanirathinem,"279,016",25.6%,Pattali Makkal Katchi
384,M Veerappa Moily,"424,800",33.6%,Indian National Congress
385,B N Bache Gowda,"415,280",32.9%,Bharatiya Janta Party
386,H D Kumara Swamy,"346,339",27.4%,Janata Dal (Secular)
